"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,292479,65046,"BPS  Open Water",65046,"EVT  Open Water",65046
"2",31,9023,290,64,"BPS  Barren-Rock/Sand/Clay",66,"EVT  Sparsely Vegetated",83
"3",31,9024,9,2,"BPS  Barren-Rock/Sand/Clay",66,"EVT  Sparsely Vegetated",3
"4",1250,7179,1,0,"BPS  Conifer",0,"EVT  Conifer",827
"5",1269,7085,2,0,"BPS  Grassland",47,"EVT  Shrubland",52
"6",1269,7141,113,25,"BPS  Grassland",47,"EVT  Grassland",15547
"7",1269,7179,4,1,"BPS  Grassland",47,"EVT  Conifer",827
"8",1269,7296,3,1,"BPS  Grassland",47,"EVT  Developed-Low Intensity",32
"9",1269,7299,13,3,"BPS  Grassland",47,"EVT  Developed-Roads",7487
"10",1269,7900,1,0,"BPS  Grassland",47,"EVT  Developed",385
"11",1269,7901,10,2,"BPS  Grassland",47,"EVT  Developed",59
"12",1269,7903,2,0,"BPS  Grassland",47,"EVT  Developed",1750
"13",1269,7904,7,2,"BPS  Grassland",47,"EVT  Developed",191
"14",1269,7921,5,1,"BPS  Grassland",47,"EVT  Developed",2
"15",1269,7923,1,0,"BPS  Grassland",47,"EVT  Developed",1
"16",1269,7924,1,0,"BPS  Grassland",47,"EVT  Developed",29
"17",1269,7967,1,0,"BPS  Grassland",47,"EVT  Agricultural",47278
"18",1269,9015,1,0,"BPS  Grassland",47,"EVT  Riparian",240
"19",1269,9516,30,7,"BPS  Grassland",47,"EVT  Riparian",14650
"20",1269,9816,18,4,"BPS  Grassland",47,"EVT  Exotic Herbaceous",35574
"21",1276,7299,1,0,"BPS  Riparian",2,"EVT  Developed-Roads",7487
"22",1276,7964,1,0,"BPS  Riparian",2,"EVT  Agricultural",2493
"23",1276,9029,1,0,"BPS  Riparian",2,"EVT  Riparian",12
"24",1276,9516,8,2,"BPS  Riparian",2,"EVT  Riparian",14650
