"","model_label","model_code","ref_label","ref_percent","bps_name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10130_31_38_39_40_A","10130_31_38_39_40","A",18,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,1,1,10130,39,1566,0
"2","10130_31_38_39_40_A","10130_31_38_39_40","A",18,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,1,12,10130,31,1693,0
"3","10130_31_38_39_40_B","10130_31_38_39_40","B",17,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,2,66,10130,39,1566,4
"4","10130_31_38_39_40_B","10130_31_38_39_40","B",17,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,2,43,10130,31,1693,2
"5","10130_31_38_39_40_C","10130_31_38_39_40","C",35,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,3,104,10130,39,1566,6
"6","10130_31_38_39_40_C","10130_31_38_39_40","C",35,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,3,176,10130,31,1693,10
"7","10130_31_38_39_40_D","10130_31_38_39_40","D",30,"Western Great Plains Dry Bur Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"8","10130_31_38_39_40_E","10130_31_38_39_40","E",NA,"Western Great Plains Dry Bur Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10130_31_38_39_40_Agriculture","10130_31_38_39_40","Agriculture",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,180,461,10130,39,1566,29
"10","10130_31_38_39_40_Developed","10130_31_38_39_40","Developed",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,120,17,10130,39,1566,1
"11","10130_31_38_39_40_Developed","10130_31_38_39_40","Developed",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,120,11,10130,31,1693,0
"12","10130_31_38_39_40_Water","10130_31_38_39_40","Water",0,"Western Great Plains Dry Bur Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"13","10130_31_38_39_40_UN","10130_31_38_39_40","UN",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,6,295,10130,39,1566,18
"14","10130_31_38_39_40_UN","10130_31_38_39_40","UN",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,6,1306,10130,31,1693,77
"15","10130_31_38_39_40_UE","10130_31_38_39_40","UE",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,7,622,10130,39,1566,39
"16","10130_31_38_39_40_UE","10130_31_38_39_40","UE",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,7,145,10130,31,1693,8
"17","10480_29_A","10480_29","A",9,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
"18","10480_29_B","10480_29","B",8,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
"19","10480_29_C","10480_29","C",22,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
"20","10480_29_D","10480_29","D",30,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
"21","10480_29_E","10480_29","E",31,"Northwestern Great Plains Highland White Spruce Woodland",1250,5,1,10480,29,1,100
"22","10480_29_Agriculture","10480_29","Agriculture",0,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
