"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1683,390358,11480,31,"11480_31_38","Western Great Plains Sand Prairie","Grassland",15,12,12,4,28,36,36,"I-A",245,218,169,0.960784,0.854902,0.662745,86814,23.8
"2",11,292479,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,65046,17.8
"3",1660,280938,11410,39,"11410_39","Northwestern Great Plains Mixedgrass Prairie","Grassland",8,-9999,-9999,8,100,-9999,-9999,"II-B",215,255,232,0.843137,1,0.909804,62479,17.1
"4",1670,234679,14200,39,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,52191,14.3
"5",1689,111704,14210,31,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,24842,6.8
"6",1691,59342,14950,31,"14950_31_39_40","Western Great Plains Depressional Wetland Systems","Riparian",20,-9999,-9999,20,100,-9999,-9999,"II-C",104,0,156,0.407843,0,0.611765,13197,3.6
"7",1671,56392,14690,39,"14690_31_39_40_43","Eastern Great Plains Floodplain Systems","Riparian",517,77,176,48,9,63,28,"III-A",75,170,190,0.294118,0.666667,0.745098,12541,3.4
"8",1686,50192,11620,31,"11620_31_39_40","Western Great Plains Floodplain Systems","Riparian",250,94,196,51,20,54,26,"III-A",102,153,205,0.4,0.6,0.803922,11162,3.1
"9",1673,46960,14950,39,"14950_31_39_40","Western Great Plains Depressional Wetland Systems","Riparian",20,-9999,-9999,20,100,-9999,-9999,"II-C",104,0,156,0.407843,0,0.611765,10444,2.9
"10",1672,35417,14820,39,"14820_39_40","Great Plains Prairie Pothole","Grassland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",156,100,163,0.611765,0.392157,0.639216,7877,2.2
"11",1679,28507,10940,31,"10940_31_38","Western Great Plains Sandhill Steppe","Shrubland",23,-9999,-9999,23,100,-9999,-9999,"II-C",169,0,230,0.662745,0,0.901961,6340,1.7
"12",1662,13701,11620,39,"11620_31_39_40","Western Great Plains Floodplain Systems","Riparian",250,94,196,51,20,54,26,"III-A",102,153,205,0.4,0.6,0.803922,3047,0.8
"13",1682,7749,11410,31,"11410_31","Northwestern Great Plains Mixedgrass Prairie","Grassland",8,-9999,-9999,8,100,-9999,-9999,"II-B",215,255,232,0.843137,1,0.909804,1723,0.5
"14",1687,5505,11790,31,"11790_31","Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna","Conifer",418,100,17,14,3,14,83,"I-B",189,106,64,0.741176,0.415686,0.25098,1224,0.3
"15",1410,3624,10940,33,"10940_27_33","Western Great Plains Sandhill Steppe","Shrubland",23,-9999,-9999,23,100,-9999,-9999,"II-C",169,0,230,0.662745,0,0.901961,806,0.2
"16",1668,3665,13940,39,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,815,0.2
"17",1681,3011,11320,31,"11320_31_38","Central Mixedgrass Prairie","Grassland",8,-9999,161,8,95,-9999,5,"II-B",112,168,112,0.439216,0.658824,0.439216,670,0.2
"18",1685,2979,11500,31,"11500_31_39_40","Western Great Plains Tallgrass Prairie","Grassland",5,-9999,254,5,98,-9999,2,"II-A",245,245,150,0.960784,0.960784,0.588235,663,0.2
