"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,292479,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,65046,17.8
"2",13,1730,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,385,0.1
"3",14,266,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,59,0
"4",15,233,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,52,0
"5",16,7867,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,1750,0.5
"6",17,857,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,191,0.1
"7",22,145,101146235,"Developed-Low Intensity",153,153,153,0.6,0.6,0.6,32,0
"8",23,100,47439540,"Developed-Medium Intensity",102,102,102,0.4,0.4,0.4,22,0
"9",24,19,23025357,"Developed-High Intensity",51,51,51,0.2,0.2,0.2,4,0
"10",25,33667,278209151,"Developed-Roads",0,0,0,0,0,0,7487,2.1
"11",31,299,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,66,0
"12",63,241,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,54,0
"13",64,11208,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,2493,0.7
"14",65,1091,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,243,0.1
"15",68,576,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,128,0
"16",100,89,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,20,0
"17",110,734,36085164,"Tree Cover = 10%",228,239,224,0.894117647,0.937254902,0.878431373,163,0
"18",111,118,6528884,"Tree Cover = 11%",226,238,222,0.88627451,0.933333333,0.870588235,26,0
"19",112,144,7198220,"Tree Cover = 12%",225,237,220,0.882352941,0.929411765,0.862745098,32,0
"20",113,140,7904402,"Tree Cover = 13%",223,236,218,0.874509804,0.925490196,0.854901961,31,0
"21",114,148,8543638,"Tree Cover = 14%",221,235,216,0.866666667,0.921568627,0.847058824,33,0
"22",115,715,23500347,"Tree Cover = 15%",220,234,214,0.862745098,0.917647059,0.839215686,159,0
"23",116,170,10275647,"Tree Cover = 16%",218,233,212,0.854901961,0.91372549,0.831372549,38,0
"24",117,165,11312146,"Tree Cover = 17%",216,232,210,0.847058824,0.909803922,0.823529412,37,0
"25",118,226,12913967,"Tree Cover = 18%",215,231,208,0.843137255,0.905882353,0.815686275,50,0
"26",119,224,13387968,"Tree Cover = 19%",212,230,204,0.831372549,0.901960784,0.8,50,0
"27",120,284,14038666,"Tree Cover = 20%",207,227,199,0.811764706,0.890196078,0.780392157,63,0
"28",121,249,14492868,"Tree Cover = 21%",203,225,195,0.796078431,0.882352941,0.764705882,55,0
"29",122,256,14889813,"Tree Cover = 22%",199,223,190,0.780392157,0.874509804,0.745098039,57,0
"30",123,295,15140697,"Tree Cover = 23%",195,221,185,0.764705882,0.866666667,0.725490196,66,0
"31",124,302,15453883,"Tree Cover = 24%",191,219,180,0.749019608,0.858823529,0.705882353,67,0
"32",125,521,41607650,"Tree Cover = 25%",187,217,176,0.733333333,0.850980392,0.690196078,116,0
"33",126,372,16086530,"Tree Cover = 26%",182,215,171,0.71372549,0.843137255,0.670588235,83,0
"34",127,333,18727838,"Tree Cover = 27%",178,213,166,0.698039216,0.835294118,0.650980392,74,0
"35",128,384,18708923,"Tree Cover = 28%",174,211,162,0.682352941,0.82745098,0.635294118,85,0
"36",129,350,20747451,"Tree Cover = 29%",170,209,158,0.666666667,0.819607843,0.619607843,78,0
"37",130,374,19623262,"Tree Cover = 30%",166,207,154,0.650980392,0.811764706,0.603921569,83,0
"38",131,437,19345830,"Tree Cover = 31%",163,205,150,0.639215686,0.803921569,0.588235294,97,0
"39",132,430,19814034,"Tree Cover = 32%",159,202,145,0.623529412,0.792156863,0.568627451,96,0
