"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,292479,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,65046,17.8
"2",13,1730,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,385,0.1
"3",14,266,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,59,0
"4",15,233,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,52,0
"5",16,7867,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,1750,0.5
"6",17,857,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,191,0.1
"7",22,145,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,32,0
"8",23,100,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,22,0
"9",24,19,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,4,0
"10",25,33667,278209151,"Developed-Roads",0,0,0,0,0,0,7487,2.1
"11",31,299,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,66,0
"12",63,241,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,54,0
"13",64,11208,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,2493,0.7
"14",65,1091,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,243,0.1
"15",68,576,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,128,0
"16",100,89,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,20,0
"17",101,5,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,1,0
"18",102,72,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,16,0
"19",103,441,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,98,0
"20",104,459,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,102,0
"21",105,548,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,122,0
"22",106,664,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,148,0
"23",107,710,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,158,0
"24",108,1323,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,294,0.1
"25",109,1148,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,255,0.1
"26",110,1171,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,260,0.1
"27",111,1110,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,247,0.1
"28",112,1195,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,266,0.1
"29",113,1167,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,260,0.1
"30",114,1310,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,291,0.1
"31",115,1124,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,250,0.1
"32",116,1090,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,242,0.1
"33",117,920,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,205,0.1
"34",118,634,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,141,0
"35",119,231,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,51,0
"36",120,56,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,12,0
"37",121,97,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,22,0
"38",203,14,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,3,0
