"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7009,15,"Northwestern Great Plains Aspen Forest and Parkland",7009,2009,"Tr Northwestern Great Plains Aspen Forest and Parkland","Tree","Hardwood",602,"Aspen Forest, Woodland, and Parkland","SAF 217: Aspen","Tree-dominated","Open tree canopy","Deciduous open tree canopy",192,255,138,0.752941,1,0.541176,3,0
"2",7013,3776,"Western Great Plains Dry Bur Oak Forest and Woodland",7013,2013,"Tr Western Great Plains Dry Bur Oak Forest and Woodland","Tree","Hardwood",659,"Bur Oak Woodland and Savanna","SAF 236: Bur Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,840,0.2
"3",7049,10,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",7049,2049,"Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland","Tree","Conifer",621,"Limber Pine Woodland","SAF 219: Limber Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",174,245,224,0.682353,0.960784,0.878431,2,0
"4",7085,233,"Northwestern Great Plains Shrubland",7085,2085,"Sh Northwestern Great Plains Shrubland","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 612: Sagebrush-Grass","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,93,65,0.478431,0.364706,0.254902,52,0
"5",7094,435,"Western Great Plains Sandhill Steppe",7094,2094,"Sh Western Great Plains Sandhill Steppe","Shrub","Shrubland",637,"Sand Shrubland","SRM 605: Sandsage Prairie","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",112,82,57,0.439216,0.321569,0.223529,97,0
"6",7132,42619,"Central Mixedgrass Prairie Grassland",7132,2132,"Sh Central Mixedgrass Prairie","Herb","Grassland",646,"Mixedgrass Prairie","SRM 704: Blue Grama-Western Wheatgrass","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,241,140,1,0.945098,0.54902,9478,2.6
"7",7141,69907,"Northwestern Great Plains Mixedgrass Prairie",7141,2141,"He Northwestern Great Plains Mixedgrass Prairie","Herb","Grassland",646,"Mixedgrass Prairie","SRM 606: Wheatgrass-Bluestem-Needlegrass","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,176,92,1,0.690196,0.360784,15547,4.3
"8",7148,449925,"Western Great Plains Sand Prairie",7148,2148,"He Western Great Plains Sand Prairie","Herb","Grassland",647,"Sand Prairie","SRM 720: Sand Bluestem -Little Bluestem Dunes","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,148,71,1,0.580392,0.278431,100061,27.4
"9",7149,4,"Western Great Plains Shortgrass Prairie",7149,2149,"He Western Great Plains Shortgrass Prairie","Herb","Grassland",648,"Shortgrass Prairie","SRM 611: Blue Grama-Buffalograss","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,142,66,1,0.556863,0.258824,1,0
"10",7150,8749,"Western Great Plains Tallgrass Prairie",7150,2150,"He Western Great Plains Tallgrass Prairie","Herb","Grassland",649,"Tallgrass Prairie","SRM 601: Bluestem Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,137,64,1,0.537255,0.25098,1946,0.5
