"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1177,349735,11530,28,"11530_28","Inter-Mountain Basins Greasewood Flat","Shrubland",204,-9999,-9999,204,100,-9999,-9999,"V-A",225,225,225,0.882353,0.882353,0.882353,77779,33.2
"2",1178,111148,11590,28,"11590_28","Rocky Mountain Montane Riparian Systems","Riparian",270,-9999,79,61,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706,24719,10.6
"3",11,73909,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,16437,7
"4",1417,67860,11490,33,"11490_31_33","Western Great Plains Shortgrass Prairie","Grassland",21,-9999,-9999,21,100,-9999,-9999,"II-C",205,205,102,0.803922,0.803922,0.4,15092,6.4
"5",1161,65505,10801,28,"10801_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,-9999,-9999,72,100,-9999,-9999,"IV-A",255,190,232,1,0.745098,0.909804,14568,6.2
"6",2049,60598,14710,43,"14710_42_43","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,191,176,0,0.74902,0.690196,13477,5.8
"7",2054,57595,11320,38,"11320_31_38","Central Mixedgrass Prairie","Grassland",8,-9999,161,8,95,-9999,5,"II-B",112,168,112,0.439216,0.658824,0.439216,12809,5.5
"8",2055,51340,11480,38,"11480_31_38","Western Great Plains Sand Prairie","Grassland",15,12,12,4,28,36,36,"I-A",245,218,169,0.960784,0.854902,0.662745,11418,4.9
"9",2062,36471,14210,38,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,8111,3.5
"10",2058,34382,11620,38,"11620_38","Western Great Plains Floodplain Systems","Riparian",242,94,201,51,21,54,25,"III-A",102,153,205,0.4,0.6,0.803922,7646,3.3
"11",2066,27490,14950,38,"14950_38","Western Great Plains Depressional Wetland Systems","Riparian",20,-9999,-9999,20,100,-9999,-9999,"II-C",104,0,156,0.407843,0,0.611765,6114,2.6
"12",2047,17626,14230,43,"14230_43_44","Southeastern Great Plains Tallgrass Prairie","Grassland",2,80,503,2,97,2,1,"II-A",135,75,120,0.529412,0.294118,0.470588,3920,1.7
"13",2057,13688,11500,38,"11500_38","Western Great Plains Tallgrass Prairie","Grassland",5,-9999,337,5,98,-9999,2,"II-A",245,245,150,0.960784,0.960784,0.588235,3044,1.3
"14",1409,10161,10860,33,"10860_27_31_33","Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",46,-9999,-9999,46,100,-9999,-9999,"IV-A",137,68,101,0.537255,0.266667,0.396078,2260,1
"15",1411,9989,11070,33,"11070_27_33","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",115,255,223,0.45098,1,0.87451,2222,0.9
"16",2065,9200,14880,38,"14880_38_42_43","Eastern Great Plains Wet Meadow-Prairie-Marsh","Grassland",3,-9999,-9999,3,100,-9999,-9999,"II-A",148,20,51,0.580392,0.078431,0.2,2046,0.9
"17",2037,7982,13040,43,"13040_32_43_44_49","Ozark-Ouachita Dry-Mesic Oak Forest","Hardwood",188,66,15,11,6,17,77,"I-B",115,115,0,0.45098,0.45098,0,1775,0.8
