"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_28",0.0084652,"Rocky Mountain Aspen Forest and Woodland",21,0.45098,905,0.4,7.661006
"2","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",37,0.4,0,0,0
"3","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",19,0.101961,1138,0.5,9.2237176
"4","All Fire","10510_28",0.0538472,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",18,1,1376,0.6,74.0937472
"5","All Fire","10520_28",0.0184546,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",38,0.901961,5,0,0.092273
"6","All Fire","10540_28",0.0496688,"Southern Rocky Mountain Ponderosa Pine Woodland",39,0,10,0,0.496688
"7","All Fire","10540_33",0.0411662,"Southern Rocky Mountain Ponderosa Pine Woodland",31,0,224,0.1,9.2212288
"8","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",20,0.745098,1199,0.5,8.7488632
"9","All Fire","10560_15_28",0.0072868,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",40,0,75,0,0.54651
"10","All Fire","10570_28",0.0068034,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",41,0.635294,0,0,0
"11","All Fire","10590_27_33",0.0071644,"Southern Rocky Mountain Pinyon-Juniper Woodland",50,0.180392,0,0,0
"12","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",28,0,190,0.1,6.630202
"13","All Fire","10801_21_22_28",0.0136586,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",5,0.909804,14568,6.2,198.9784848
"14","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",42,0.478431,0,0,0
