"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,73909,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,16437,7
"2",12,70,2047802,"Snow/Ice",245,245,245,0.960784314,0.960784314,0.960784314,16,0
"3",13,1035,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,230,0.1
"4",14,385,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,86,0
"5",15,223,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,50,0
"6",16,6891,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,1533,0.7
"7",17,4208,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,936,0.4
"8",22,360,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,80,0
"9",23,380,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,85,0
"10",24,242,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,54,0
"11",25,22860,278209151,"Developed-Roads",0,0,0,0,0,0,5084,2.2
"12",31,2498,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,556,0.2
"13",32,190,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,42,0
"14",63,243,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,54,0
"15",64,6537,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,1454,0.6
"16",65,3223,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,717,0.3
"17",68,541,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,120,0.1
"18",100,7480,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,1664,0.7
"19",101,5699,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,1267,0.5
"20",102,1489,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,331,0.1
"21",103,1118,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,249,0.1
"22",104,504,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,112,0
"23",105,388,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,86,0
"24",106,312,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,69,0
"25",107,302,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,67,0
"26",108,959,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,213,0.1
"27",109,513,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,114,0
