"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",-1111,7755,20,4,"BPS  Fill-Not Mapped",4,"EVT  Agricultural",4
"2",11,7292,1068911,237720,"BPS  Open Water",237720,"EVT  Open Water",237720
"3",31,9006,6,1,"BPS  Barren-Rock/Sand/Clay",2680,"EVT  Sparsely Vegetated",12
"4",31,9018,137,30,"BPS  Barren-Rock/Sand/Clay",2680,"EVT  Sparsely Vegetated",259
"5",31,9023,11429,2542,"BPS  Barren-Rock/Sand/Clay",2680,"EVT  Sparsely Vegetated",6687
"6",31,9024,477,106,"BPS  Barren-Rock/Sand/Clay",2680,"EVT  Sparsely Vegetated",526
"7",410,9011,1,0,"BPS  Sparse",2,"EVT  Riparian",4044
"8",410,9017,1,0,"BPS  Sparse",2,"EVT  Riparian",9295
"9",410,9018,3,1,"BPS  Sparse",2,"EVT  Sparsely Vegetated",259
"10",410,9519,2,0,"BPS  Sparse",2,"EVT  Riparian",19880
"11",411,9018,31,7,"BPS  Sparse",7,"EVT  Sparsely Vegetated",259
"12",412,7085,2,0,"BPS  Sparse",418,"EVT  Shrubland",17508
"13",412,7125,1,0,"BPS  Sparse",418,"EVT  Shrubland",369753
"14",412,7141,3,1,"BPS  Sparse",418,"EVT  Grassland",238405
"15",412,7153,4,1,"BPS  Sparse",418,"EVT  Shrubland",6721
"16",412,7179,1,0,"BPS  Sparse",418,"EVT  Conifer",138873
"17",412,7966,27,6,"BPS  Sparse",418,"EVT  Agricultural",4218
"18",412,7967,1,0,"BPS  Sparse",418,"EVT  Agricultural",8558
"19",412,9023,1737,386,"BPS  Sparse",418,"EVT  Sparsely Vegetated",6687
"20",412,9024,103,23,"BPS  Sparse",418,"EVT  Sparsely Vegetated",526
"21",412,9029,1,0,"BPS  Sparse",418,"EVT  Riparian",449
"22",415,9006,1,0,"BPS  Sparse",1,"EVT  Sparsely Vegetated",12
"23",415,9018,3,1,"BPS  Sparse",1,"EVT  Sparsely Vegetated",259
"24",417,7010,123,27,"BPS  Conifer",2521,"EVT  Conifer",83
"25",417,7045,5027,1118,"BPS  Conifer",2521,"EVT  Conifer",3117
"26",417,7047,44,10,"BPS  Conifer",2521,"EVT  Conifer",116
