"","model_label","model_code","ref_label","ref_percent","bps_name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_21_A","10110_21","A",9,"Rocky Mountain Aspen Forest and Woodland",686,1,1661,10110,21,2150,77
"2","10110_21_B","10110_21","B",24,"Rocky Mountain Aspen Forest and Woodland",686,2,24,10110,21,2150,1
"3","10110_21_C","10110_21","C",25,"Rocky Mountain Aspen Forest and Woodland",686,3,1,10110,21,2150,0
"4","10110_21_D","10110_21","D",27,"Rocky Mountain Aspen Forest and Woodland",686,4,152,10110,21,2150,7
"5","10110_21_E","10110_21","E",15,"Rocky Mountain Aspen Forest and Woodland",686,5,106,10110,21,2150,4
"6","10110_21_Agriculture","10110_21","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"7","10110_21_Developed","10110_21","Developed",0,"Rocky Mountain Aspen Forest and Woodland",686,120,10,10110,21,2150,0
"8","10110_21_Water","10110_21","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10110_21_UN","10110_21","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"10","10110_21_UE","10110_21","UE",0,"Rocky Mountain Aspen Forest and Woodland",686,7,195,10110,21,2150,9
"11","10110_22_A","10110_22","A",8,"Rocky Mountain Aspen Forest and Woodland",879,1,37,10110,22,90,41
"12","10110_22_B","10110_22","B",34,"Rocky Mountain Aspen Forest and Woodland",879,2,4,10110,22,90,4
"13","10110_22_C","10110_22","C",58,"Rocky Mountain Aspen Forest and Woodland",879,3,1,10110,22,90,1
"14","10110_22_D","10110_22","D",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"15","10110_22_E","10110_22","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"16","10110_22_Agriculture","10110_22","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",879,180,29,10110,22,90,32
"17","10110_22_Developed","10110_22","Developed",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"18","10110_22_Water","10110_22","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"19","10110_22_UN","10110_22","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"20","10110_22_UE","10110_22","UE",0,"Rocky Mountain Aspen Forest and Woodland",879,7,19,10110,22,90,21
"21","10110_6_10_12_17_18_19_A","10110_6_10_12_17_18_19","A",14,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"22","10110_6_10_12_17_18_19_B","10110_6_10_12_17_18_19","B",40,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"23","10110_6_10_12_17_18_19_C","10110_6_10_12_17_18_19","C",45,"Rocky Mountain Aspen Forest and Woodland",454,3,2,10110,19,7,28
"24","10110_6_10_12_17_18_19_D","10110_6_10_12_17_18_19","D",1,"Rocky Mountain Aspen Forest and Woodland",454,4,3,10110,19,7,42
"25","10110_6_10_12_17_18_19_E","10110_6_10_12_17_18_19","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"26","10110_6_10_12_17_18_19_Agriculture","10110_6_10_12_17_18_19","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"27","10110_6_10_12_17_18_19_Developed","10110_6_10_12_17_18_19","Developed",0,"Rocky Mountain Aspen Forest and Woodland",454,120,1,10110,19,7,14
"28","10110_6_10_12_17_18_19_Water","10110_6_10_12_17_18_19","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"29","10110_6_10_12_17_18_19_UN","10110_6_10_12_17_18_19","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"30","10110_6_10_12_17_18_19_UE","10110_6_10_12_17_18_19","UE",0,"Rocky Mountain Aspen Forest and Woodland",454,7,1,10110,19,7,14
"31","10451_10_19_A","10451_10_19","A",16,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",417,1,4010,10451,10,11334,35
"32","10451_10_19_A","10451_10_19","A",16,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",456,1,695,10451,19,2176,31
"33","10451_10_19_B","10451_10_19","B",14,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",417,2,156,10451,10,11334,1
"34","10451_10_19_B","10451_10_19","B",14,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",456,2,251,10451,19,2176,11
"35","10451_10_19_C","10451_10_19","C",38,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",417,3,5444,10451,10,11334,48
"36","10451_10_19_C","10451_10_19","C",38,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",456,3,1060,10451,19,2176,48
"37","10451_10_19_D","10451_10_19","D",27,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",417,4,2,10451,10,11334,0
"38","10451_10_19_E","10451_10_19","E",5,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",417,5,4,10451,10,11334,0
"39","10451_10_19_Agriculture","10451_10_19","Agriculture",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",417,180,232,10451,10,11334,2
"40","10451_10_19_Agriculture","10451_10_19","Agriculture",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",456,180,28,10451,19,2176,1
"41","10451_10_19_Developed","10451_10_19","Developed",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",417,120,114,10451,10,11334,1
"42","10451_10_19_Developed","10451_10_19","Developed",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",456,120,83,10451,19,2176,3
"43","10451_10_19_Water","10451_10_19","Water",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",NA,NA,NA,NA,NA,NA,NA
"44","10451_10_19_UN","10451_10_19","UN",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",NA,NA,NA,NA,NA,NA,NA
"45","10451_10_19_UE","10451_10_19","UE",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",417,7,1205,10451,10,11334,10
"46","10451_10_19_UE","10451_10_19","UE",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",456,7,58,10451,19,2176,2
"47","10451_20_A","10451_20","A",15,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",854,1,1528,10451,20,23999,6
"48","10451_20_B","10451_20","B",12,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",854,2,17821,10451,20,23999,74
"49","10451_20_C","10451_20","C",35,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",854,3,4640,10451,20,23999,19
"50","10451_20_D","10451_20","D",30,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",NA,NA,NA,NA,NA,NA,NA
"51","10451_20_E","10451_20","E",8,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",NA,NA,NA,NA,NA,NA,NA
"52","10451_20_Agriculture","10451_20","Agriculture",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",NA,NA,NA,NA,NA,NA,NA
"53","10451_20_Developed","10451_20","Developed",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",854,120,2,10451,20,23999,0
"54","10451_20_Water","10451_20","Water",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",NA,NA,NA,NA,NA,NA,NA
"55","10451_20_UN","10451_20","UN",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",NA,NA,NA,NA,NA,NA,NA
"56","10451_20_UE","10451_20","UE",0,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",854,7,2,10451,20,23999,0
"57","10452_10_19_A","10452_10_19","A",9,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch",418,1,1486,10452,10,5015,29
"58","10452_10_19_A","10452_10_19","A",9,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch",457,1,103,10452,19,443,23
"59","10452_10_19_B","10452_10_19","B",14,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch",418,2,1919,10452,10,5015,38
"60","10452_10_19_B","10452_10_19","B",14,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch",457,2,173,10452,19,443,39
