"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",869,1716921,11410,20,"11410_20","Northwestern Great Plains Mixedgrass Prairie","Grassland",12,-9999,-9999,12,100,-9999,-9999,"II-B",215,255,232,0.843137,1,0.909804,381834,32
"2",11,1068911,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,237720,19.9
"3",862,948660,10850,20,"10850_20","Northwestern Great Plains Shrubland","Shrubland",30,-9999,-9999,30,100,-9999,-9999,"II-C",168,0,132,0.658824,0,0.517647,210977,17.7
"4",865,311579,11250,20,"11250_20_29_30_31_33","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",92,-9999,-9999,92,100,-9999,-9999,"IV-A",255,115,223,1,0.45098,0.87451,69294,5.8
"5",858,308488,10540,20,"10540_20","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",232,77,19,14,6,18,76,"I-B",168,56,0,0.658824,0.219608,0,68606,5.7
"6",875,222672,11620,20,"11620_20","Western Great Plains Floodplain Systems","Riparian",106,247,246,57,54,23,23,"III-A",102,153,205,0.4,0.6,0.803922,49521,4.1
"7",871,159517,11480,20,"11480_20_29_30","Western Great Plains Sand Prairie","Grassland",22,-9999,-9999,22,100,-9999,-9999,"II-C",245,218,169,0.960784,0.854902,0.662745,35476,3
"8",713,117076,11600,21,"11600_21","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",335,2775,-9999,299,89,11,-9999,"V-A",49,165,167,0.192157,0.647059,0.654902,26037,2.2
"9",1284,96880,11410,30,"11410_29_30","Northwestern Great Plains Mixedgrass Prairie","Grassland",13,-9999,-9999,13,100,-9999,-9999,"II-B",215,255,232,0.843137,1,0.909804,21546,1.8
"10",704,57159,11260,21,"11260_21","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745,12712,1.1
"11",864,53524,11170,20,"11170_20","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",392,75,18,14,4,18,78,"I-B",255,85,0,1,0.333333,0,11903,1
"12",482,44499,11590,19,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian",100,101,-9999,50,50,50,-9999,"III-A",123,124,93,0.482353,0.486275,0.364706,9896,0.8
"13",1287,34272,11620,30,"11620_29_30","Western Great Plains Floodplain Systems","Riparian",111,148,259,51,46,34,20,"III-A",102,153,205,0.4,0.6,0.803922,7622,0.6
"14",854,23999,10451,20,"10451_20","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir","Conifer",163,51,43,20,13,40,47,"I-C",200,209,255,0.784314,0.819608,1,5337,0.4
"15",872,20527,11530,20,"11530_20_22_29_30","Inter-Mountain Basins Greasewood Flat","Shrubland",207,-9999,-9999,207,100,-9999,-9999,"V-A",225,225,225,0.882353,0.882353,0.882353,4565,0.4
"16",873,14609,11590,20,"11590_20","Rocky Mountain Montane Riparian Systems","Riparian",100,115,-9999,53,53,47,-9999,"III-A",123,124,93,0.482353,0.486275,0.364706,3249,0.3
"17",31,12049,31,0,"0","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902,2680,0.2
"18",417,11334,10451,10,"10451_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir","Conifer",148,51,39,19,13,38,49,"I-C",200,209,255,0.784314,0.819608,1,2521,0.2
"19",446,10973,11590,10,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian",100,101,-9999,50,50,50,-9999,"III-A",123,124,93,0.482353,0.486275,0.364706,2440,0.2
"20",475,11956,11390,19,"11390_10_19","Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland","Grassland",17,-9999,-9999,17,100,-9999,-9999,"II-C",171,205,102,0.670588,0.803922,0.4,2659,0.2
"21",483,9966,11600,19,"11600_10_19","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",201,133,-9999,80,40,60,-9999,"III-A",49,165,167,0.192157,0.647059,0.654902,2216,0.2
"22",693,10613,10550,21,"10550_21_22","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",333,-9999,-9999,333,100,-9999,-9999,"V-A",211,255,190,0.827451,1,0.745098,2360,0.2
"23",715,9873,11660,21,"11660_21","Middle Rocky Mountain Montane Douglas-fir Forest and Woodland","Conifer",296,46,-9999,40,14,86,-9999,"III-A",214,112,0,0.839216,0.439216,0,2196,0.2
