"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_21",0.0090334,"Rocky Mountain Aspen Forest and Woodland",68,0.45098,478,0,4.3179652
"2","All Fire","10110_22",0.0060602,"Rocky Mountain Aspen Forest and Woodland",82,0.45098,20,0,0.121204
"3","All Fire","10110_6_10_12_17_18_19",0.0320966,"Rocky Mountain Aspen Forest and Woodland",49,0.45098,2,0,0.0641932
"4","All Fire","10451_10_19",0.0518362,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",18,1,2521,0.2,130.6790602
"5","All Fire","10451_10_19",0.0518362,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",50,1,484,0,25.0887208
"6","All Fire","10451_20",0.0491144,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",14,1,5337,0.4,262.1235528
"7","All Fire","10452_10_19",0.0272592,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch",26,0.709804,1115,0.1,30.394008
"8","All Fire","10452_10_19",0.0272592,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch",51,0.709804,99,0,2.6986608
"9","All Fire","10453_10_19",0.0140306,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir",39,0.031373,34,0,0.4770404
"10","All Fire","10453_10_19",0.0140306,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir",52,0.031373,41,0,0.5752546
"11","All Fire","10460_21",0.0051614,"Northern Rocky Mountain Subalpine Woodland and Parkland",69,0,144,0,0.7432416
"12","All Fire","10470_10_19",0.0124894,"Northern Rocky Mountain Mesic Montane Mixed Conifer Forest",53,0.898039,102,0,1.2739188
"13","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",70,0.670588,1,0,0.0025256
"14","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",78,0.670588,47,0,0.1187032
"15","All Fire","10530_10_19",0.0783986,"Northern Rocky Mountain Ponderosa Pine Woodland and Savanna",40,0,4,0,0.3135944
"16","All Fire","10530_10_19",0.0783986,"Northern Rocky Mountain Ponderosa Pine Woodland and Savanna",54,0,39,0,3.0575454
"17","All Fire","10540_20",0.0714864,"Southern Rocky Mountain Ponderosa Pine Woodland",5,0,68606,5.7,4904.3959584
"18","All Fire","10550_10_19",0.0073282,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",41,0.745098,256,0,1.8760192
"19","All Fire","10550_10_19",0.0073282,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",55,0.745098,106,0,0.7767892
"20","All Fire","10550_21_22",0.0030068,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",22,0.745098,2360,0.2,7.096048
