"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1068911,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,237720,19.9
"2",13,451,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,100,0
"3",14,431,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,96,0
"4",15,399,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,89,0
"5",16,5749,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,1279,0.1
"6",17,3170,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,705,0.1
"7",22,817,101146235,"Developed-Low Intensity",153,153,153,0.6,0.6,0.6,182,0
"8",23,289,47439540,"Developed-Medium Intensity",102,102,102,0.4,0.4,0.4,64,0
"9",24,35,23025357,"Developed-High Intensity",51,51,51,0.2,0.2,0.2,8,0
"10",25,13379,278209151,"Developed-Roads",0,0,0,0,0,0,2975,0.2
"11",31,12049,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,2680,0.2
"12",32,7,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,2,0
"13",63,1489,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,331,0
"14",64,656,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,146,0
"15",65,4910,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,1092,0.1
"16",68,4590,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,1021,0.1
"17",82,20,165821694,"Cultivated Crops",214,210,77,0.839215686,0.823529412,0.301960784,4,0
"18",100,21604,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,4805,0.4
"19",110,220101,36085164,"Tree Cover = 10%",228,239,224,0.894117647,0.937254902,0.878431373,48949,4.1
"20",111,18699,6528884,"Tree Cover = 11%",226,238,222,0.88627451,0.933333333,0.870588235,4159,0.3
"21",112,18035,7198220,"Tree Cover = 12%",225,237,220,0.882352941,0.929411765,0.862745098,4011,0.3
"22",113,17406,7904402,"Tree Cover = 13%",223,236,218,0.874509804,0.925490196,0.854901961,3871,0.3
"23",114,16772,8543638,"Tree Cover = 14%",221,235,216,0.866666667,0.921568627,0.847058824,3730,0.3
"24",115,36920,23500347,"Tree Cover = 15%",220,234,214,0.862745098,0.917647059,0.839215686,8211,0.7
"25",116,16006,10275647,"Tree Cover = 16%",218,233,212,0.854901961,0.91372549,0.831372549,3560,0.3
