"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1068911,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,237720,19.9
"2",13,451,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,100,0
"3",14,431,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,96,0
"4",15,399,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,89,0
"5",16,5749,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,1279,0.1
"6",17,3170,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,705,0.1
"7",22,817,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,182,0
"8",23,289,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,64,0
"9",24,35,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,8,0
"10",25,13379,278209151,"Developed-Roads",0,0,0,0,0,0,2975,0.2
"11",31,12049,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,2680,0.2
"12",32,7,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,2,0
"13",63,1489,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,331,0
"14",64,656,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,146,0
"15",65,4910,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,1092,0.1
"16",68,4590,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,1021,0.1
"17",82,20,165821694,"Cultivated Crops",214,210,77,0.839215686,0.823529412,0.301960784,4,0
"18",100,21604,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,4805,0.4
"19",101,1847,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,411,0
"20",102,10158,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,2259,0.2
"21",103,43925,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,9769,0.8
"22",104,55333,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,12306,1
"23",105,78477,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,17453,1.5
"24",106,93314,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,20753,1.7
"25",107,78796,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,17524,1.5
