"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7009,171,"Northwestern Great Plains Aspen Forest and Parkland",7009,2009,"Tr Northwestern Great Plains Aspen Forest and Parkland","Tree","Hardwood",602,"Aspen Forest, Woodland, and Parkland","SAF 217: Aspen","Tree-dominated","Open tree canopy","Deciduous open tree canopy",192,255,138,0.752941,1,0.541176,38,0
"2",7010,372,"Northern Rocky Mountain Western Larch Savanna",7010,2010,"Tr Northern Rocky Mountain Western Larch Savanna","Tree","Conifer",644,"Western Larch Forest and Woodland","SAF 212: Western Larch","Tree-dominated","Open tree canopy","Deciduous open tree canopy",180,255,148,0.705882,1,0.580392,83,0
"3",7011,563,"Rocky Mountain Aspen Forest and Woodland",7011,2011,"Tr Rocky Mountain Aspen Forest and Woodland","Tree","Hardwood",602,"Aspen Forest, Woodland, and Parkland","SAF 217: Aspen","Tree-dominated","Open tree canopy","Deciduous open tree canopy",192,255,138,0.752941,1,0.541176,125,0
"4",7013,24,"Western Great Plains Dry Bur Oak Forest and Woodland",7013,2013,"Tr Western Great Plains Dry Bur Oak Forest and Woodland","Tree","Hardwood",659,"Bur Oak Woodland and Savanna","SAF 236: Bur Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,5,0
"5",7045,14015,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",7045,2045,"Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest","Tree","Conifer",625,"Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland","SAF 210: Interior Douglas-Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,51,0,0,0.2,0,3117,0.3
"6",7046,149,"Northern Rocky Mountain Subalpine Woodland and Parkland",7046,2046,"Tr Northern Rocky Mountain Subalpine Woodland and Parkland","Tree","Conifer",640,"Subalpine Woodland and Parkland","SAF 208: Whitebark Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",191,255,233,0.74902,1,0.913725,33,0
"7",7047,521,"Northern Rocky Mountain Mesic Montane Mixed Conifer Forest",7047,2047,"Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest","Tree","Conifer",643,"Douglas-fir-Grand Fir-White Fir Forest and Woodland","SAF 213: Grand Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",96,255,71,0.376471,1,0.278431,116,0
"8",7049,46,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",7049,2049,"Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland","Tree","Conifer",621,"Limber Pine Woodland","SAF 219: Limber Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",174,245,224,0.682353,0.960784,0.878431,10,0
"9",7050,4026,"Rocky Mountain Lodgepole Pine Forest",7050,2050,"Tr Rocky Mountain Lodgepole Pine Forest","Tree","Conifer",622,"Lodgepole Pine Forest and Woodland","SAF 218: Lodgepole Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",163,240,219,0.639216,0.941176,0.858824,895,0.1
"10",7053,1620,"Northern Rocky Mountain Ponderosa Pine Woodland and Savanna",7053,2053,"Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Tree","Conifer",631,"Ponderosa Pine Forest, Woodland and Savanna","SAF 237: Interior Ponderosa Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",214,255,181,0.839216,1,0.709804,360,0
"11",7055,1267,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",7055,2055,"Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Tree","Conifer",639,"Spruce-Fir Forest and Woodland","SAF 206: Engelmann Spruce-Subalpine Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",236,252,204,0.92549,0.988235,0.8,282,0
