"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",-1111,7141,12,3,"BPS  Fill-Not Mapped",20,"EVT  Grassland",86357
"2",-1111,7292,10,2,"BPS  Fill-Not Mapped",20,"EVT  Open Water",167428
"3",-1111,7420,33,7,"BPS  Fill-Not Mapped",20,"EVT  Grassland",16516
"4",-1111,7755,36,8,"BPS  Fill-Not Mapped",20,"EVT  Agricultural",8
"5",11,7292,752831,167426,"BPS  Open Water",167426,"EVT  Open Water",167428
"6",31,9023,1292,287,"BPS  Barren-Rock/Sand/Clay",297,"EVT  Sparsely Vegetated",357
"7",31,9024,44,10,"BPS  Barren-Rock/Sand/Clay",297,"EVT  Sparsely Vegetated",13
"8",1281,9023,14,3,"BPS  Sparse",3,"EVT  Sparsely Vegetated",357
"9",1282,7141,4,1,"BPS  Shrubland",1,"EVT  Grassland",86357
"10",1282,9816,1,0,"BPS  Shrubland",1,"EVT  Exotic Herbaceous",56604
"11",1284,7009,1,0,"BPS  Grassland",9768,"EVT  Hardwood",6519
"12",1284,7085,93,21,"BPS  Grassland",9768,"EVT  Shrubland",214
"13",1284,7125,2,0,"BPS  Grassland",9768,"EVT  Shrubland",0
"14",1284,7141,18783,4177,"BPS  Grassland",9768,"EVT  Grassland",86357
"15",1284,7150,25,6,"BPS  Grassland",9768,"EVT  Grassland",263
"16",1284,7295,4,1,"BPS  Grassland",9768,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",7
"17",1284,7296,2,0,"BPS  Grassland",9768,"EVT  Developed-Low Intensity",72
"18",1284,7297,3,1,"BPS  Grassland",9768,"EVT  Developed-Medium Intensity",44
"19",1284,7299,2092,465,"BPS  Grassland",9768,"EVT  Developed-Roads",14871
"20",1284,7385,51,11,"BPS  Grassland",9768,"EVT  Riparian",1561
"21",1284,7482,925,206,"BPS  Grassland",9768,"EVT  Riparian",13222
"22",1284,7900,30,7,"BPS  Grassland",9768,"EVT  Developed",780
"23",1284,7901,7,2,"BPS  Grassland",9768,"EVT  Developed",193
"24",1284,7902,10,2,"BPS  Grassland",9768,"EVT  Developed",119
"25",1284,7903,1067,237,"BPS  Grassland",9768,"EVT  Developed",5090
"26",1284,7904,117,26,"BPS  Grassland",9768,"EVT  Developed",682
"27",1284,7920,1,0,"BPS  Grassland",9768,"EVT  Developed",3
"28",1284,7922,1,0,"BPS  Grassland",9768,"EVT  Developed",3
"29",1284,7924,12,3,"BPS  Grassland",9768,"EVT  Developed",62
"30",1284,7963,75,17,"BPS  Grassland",9768,"EVT  Agricultural",797
"31",1284,7964,122,27,"BPS  Grassland",9768,"EVT  Agricultural",2136
"32",1284,7965,117,26,"BPS  Grassland",9768,"EVT  Agricultural",306
"33",1284,7966,936,208,"BPS  Grassland",9768,"EVT  Agricultural",14993
"34",1284,7967,4191,932,"BPS  Grassland",9768,"EVT  Agricultural",75205
"35",1284,7968,358,80,"BPS  Grassland",9768,"EVT  Agricultural",1328
"36",1284,9015,25,6,"BPS  Grassland",9768,"EVT  Riparian",87
"37",1284,9023,40,9,"BPS  Grassland",9768,"EVT  Sparsely Vegetated",357
"38",1284,9025,183,41,"BPS  Grassland",9768,"EVT  Riparian",67
"39",1284,9027,1736,386,"BPS  Grassland",9768,"EVT  Riparian",11574
"40",1284,9029,438,97,"BPS  Grassland",9768,"EVT  Riparian",205
"41",1284,9316,33,7,"BPS  Grassland",9768,"EVT  Exotic Tree-Shrub",248
"42",1284,9318,14,3,"BPS  Grassland",9768,"EVT  Riparian",2463
"43",1284,9513,2,0,"BPS  Grassland",9768,"EVT  Riparian",1
"44",1284,9514,1,0,"BPS  Grassland",9768,"EVT  Riparian",89
"45",1284,9515,15,3,"BPS  Grassland",9768,"EVT  Riparian",16
"46",1284,9516,5396,1200,"BPS  Grassland",9768,"EVT  Riparian",15463
"47",1284,9816,7014,1560,"BPS  Grassland",9768,"EVT  Exotic Herbaceous",56604
"48",1285,7141,5,1,"BPS  Grassland",9,"EVT  Grassland",86357
"49",1285,7299,3,1,"BPS  Grassland",9,"EVT  Developed-Roads",14871
"50",1285,7482,12,3,"BPS  Grassland",9,"EVT  Riparian",13222
"51",1285,7967,7,2,"BPS  Grassland",9,"EVT  Agricultural",75205
"52",1285,9816,13,3,"BPS  Grassland",9,"EVT  Exotic Herbaceous",56604
"53",1287,7085,4,1,"BPS  Riparian",3260,"EVT  Shrubland",214
"54",1287,7141,1283,285,"BPS  Riparian",3260,"EVT  Grassland",86357
"55",1287,7150,2,0,"BPS  Riparian",3260,"EVT  Grassland",263
"56",1287,7296,2,0,"BPS  Riparian",3260,"EVT  Developed-Low Intensity",72
"57",1287,7297,1,0,"BPS  Riparian",3260,"EVT  Developed-Medium Intensity",44
"58",1287,7299,284,63,"BPS  Riparian",3260,"EVT  Developed-Roads",14871
"59",1287,7385,13,3,"BPS  Riparian",3260,"EVT  Riparian",1561
"60",1287,7482,81,18,"BPS  Riparian",3260,"EVT  Riparian",13222
"61",1287,7900,42,9,"BPS  Riparian",3260,"EVT  Developed",780
"62",1287,7901,7,2,"BPS  Riparian",3260,"EVT  Developed",193
"63",1287,7902,6,1,"BPS  Riparian",3260,"EVT  Developed",119
"64",1287,7903,289,64,"BPS  Riparian",3260,"EVT  Developed",5090
"65",1287,7904,26,6,"BPS  Riparian",3260,"EVT  Developed",682
"66",1287,7963,27,6,"BPS  Riparian",3260,"EVT  Agricultural",797
"67",1287,7964,19,4,"BPS  Riparian",3260,"EVT  Agricultural",2136
"68",1287,7965,134,30,"BPS  Riparian",3260,"EVT  Agricultural",306
"69",1287,7966,209,46,"BPS  Riparian",3260,"EVT  Agricultural",14993
"70",1287,7967,2535,564,"BPS  Riparian",3260,"EVT  Agricultural",75205
"71",1287,7968,62,14,"BPS  Riparian",3260,"EVT  Agricultural",1328
"72",1287,9014,9,2,"BPS  Riparian",3260,"EVT  Riparian",2
"73",1287,9015,11,2,"BPS  Riparian",3260,"EVT  Riparian",87
"74",1287,9023,7,2,"BPS  Riparian",3260,"EVT  Sparsely Vegetated",357
"75",1287,9025,46,10,"BPS  Riparian",3260,"EVT  Riparian",67
"76",1287,9027,405,90,"BPS  Riparian",3260,"EVT  Riparian",11574
"77",1287,9029,32,7,"BPS  Riparian",3260,"EVT  Riparian",205
"78",1287,9513,1,0,"BPS  Riparian",3260,"EVT  Riparian",1
"79",1287,9514,397,88,"BPS  Riparian",3260,"EVT  Riparian",89
"80",1287,9515,2,0,"BPS  Riparian",3260,"EVT  Riparian",16
"81",1287,9516,7862,1748,"BPS  Riparian",3260,"EVT  Riparian",15463
"82",1287,9816,859,191,"BPS  Riparian",3260,"EVT  Exotic Herbaceous",56604
