"","model_label","model_code","ref_label","ref_percent","bps_name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10130_31_38_39_40_A","10130_31_38_39_40","A",18,"Western Great Plains Dry Bur Oak Forest and Woodland",1642,1,9,10130,40,360,2
"2","10130_31_38_39_40_B","10130_31_38_39_40","B",17,"Western Great Plains Dry Bur Oak Forest and Woodland",1642,2,125,10130,40,360,34
"3","10130_31_38_39_40_B","10130_31_38_39_40","B",17,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,2,39,10130,39,508,7
"4","10130_31_38_39_40_C","10130_31_38_39_40","C",35,"Western Great Plains Dry Bur Oak Forest and Woodland",1642,3,150,10130,40,360,41
"5","10130_31_38_39_40_C","10130_31_38_39_40","C",35,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,3,45,10130,39,508,8
"6","10130_31_38_39_40_D","10130_31_38_39_40","D",30,"Western Great Plains Dry Bur Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"7","10130_31_38_39_40_E","10130_31_38_39_40","E",NA,"Western Great Plains Dry Bur Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"8","10130_31_38_39_40_Agriculture","10130_31_38_39_40","Agriculture",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1642,180,2,10130,40,360,0
"9","10130_31_38_39_40_Agriculture","10130_31_38_39_40","Agriculture",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,180,156,10130,39,508,30
"10","10130_31_38_39_40_Developed","10130_31_38_39_40","Developed",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1642,120,1,10130,40,360,0
"11","10130_31_38_39_40_Developed","10130_31_38_39_40","Developed",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,120,1,10130,39,508,0
"12","10130_31_38_39_40_Water","10130_31_38_39_40","Water",0,"Western Great Plains Dry Bur Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"13","10130_31_38_39_40_UN","10130_31_38_39_40","UN",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1642,6,69,10130,40,360,19
"14","10130_31_38_39_40_UN","10130_31_38_39_40","UN",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,6,200,10130,39,508,39
"15","10130_31_38_39_40_UE","10130_31_38_39_40","UE",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1642,7,4,10130,40,360,1
"16","10130_31_38_39_40_UE","10130_31_38_39_40","UE",0,"Western Great Plains Dry Bur Oak Forest and Woodland",1659,7,67,10130,39,508,13
"17","10850_29_30_A","10850_29_30","A",53,"Northwestern Great Plains Shrubland",1282,1,1,10850,30,5,20
"18","10850_29_30_B","10850_29_30","B",29,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"19","10850_29_30_C","10850_29_30","C",18,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"20","10850_29_30_D","10850_29_30","D",NA,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"21","10850_29_30_E","10850_29_30","E",NA,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"22","10850_29_30_Agriculture","10850_29_30","Agriculture",0,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"23","10850_29_30_Developed","10850_29_30","Developed",0,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"24","10850_29_30_Water","10850_29_30","Water",0,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"25","10850_29_30_UN","10850_29_30","UN",0,"Northwestern Great Plains Shrubland",1282,6,3,10850,30,5,60
"26","10850_29_30_UE","10850_29_30","UE",0,"Northwestern Great Plains Shrubland",1282,7,1,10850,30,5,20
"27","11410_29_30_A","11410_29_30","A",26,"Northwestern Great Plains Mixedgrass Prairie",1284,1,3178,11410,30,43922,7
"28","11410_29_30_B","11410_29_30","B",74,"Northwestern Great Plains Mixedgrass Prairie",1284,2,24371,11410,30,43922,55
"29","11410_29_30_C","11410_29_30","C",NA,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"30","11410_29_30_D","11410_29_30","D",NA,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"31","11410_29_30_E","11410_29_30","E",NA,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"32","11410_29_30_Agriculture","11410_29_30","Agriculture",0,"Northwestern Great Plains Mixedgrass Prairie",1284,180,5799,11410,30,43922,13
"33","11410_29_30_Developed","11410_29_30","Developed",0,"Northwestern Great Plains Mixedgrass Prairie",1284,120,3328,11410,30,43922,7
"34","11410_29_30_Water","11410_29_30","Water",0,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"35","11410_29_30_UN","11410_29_30","UN",0,"Northwestern Great Plains Mixedgrass Prairie",1284,6,127,11410,30,43922,0
"36","11410_29_30_UE","11410_29_30","UE",0,"Northwestern Great Plains Mixedgrass Prairie",1284,7,7075,11410,30,43922,16
"37","11410_39_A","11410_39","A",25,"Northwestern Great Plains Mixedgrass Prairie",1660,1,2480,11410,39,87032,2
"38","11410_39_B","11410_39","B",69,"Northwestern Great Plains Mixedgrass Prairie",1660,2,25720,11410,39,87032,29
"39","11410_39_C","11410_39","C",6,"Northwestern Great Plains Mixedgrass Prairie",1660,3,197,11410,39,87032,0
"40","11410_39_D","11410_39","D",NA,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"41","11410_39_E","11410_39","E",NA,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"42","11410_39_Agriculture","11410_39","Agriculture",0,"Northwestern Great Plains Mixedgrass Prairie",1660,180,36747,11410,39,87032,42
"43","11410_39_Developed","11410_39","Developed",0,"Northwestern Great Plains Mixedgrass Prairie",1660,120,5842,11410,39,87032,6
"44","11410_39_Water","11410_39","Water",0,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"45","11410_39_UN","11410_39","UN",0,"Northwestern Great Plains Mixedgrass Prairie",1660,6,38,11410,39,87032,0
"46","11410_39_UE","11410_39","UE",0,"Northwestern Great Plains Mixedgrass Prairie",1660,7,15992,11410,39,87032,18
"47","11410_40_A","11410_40","A",25,"Northwestern Great Plains Mixedgrass Prairie",1643,1,11524,11410,40,911360,1
"48","11410_40_B","11410_40","B",69,"Northwestern Great Plains Mixedgrass Prairie",1643,2,400380,11410,40,911360,43
"49","11410_40_C","11410_40","C",6,"Northwestern Great Plains Mixedgrass Prairie",1643,3,7476,11410,40,911360,0
"50","11410_40_D","11410_40","D",NA,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"51","11410_40_E","11410_40","E",NA,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"52","11410_40_Agriculture","11410_40","Agriculture",0,"Northwestern Great Plains Mixedgrass Prairie",1643,180,218953,11410,40,911360,24
"53","11410_40_Developed","11410_40","Developed",0,"Northwestern Great Plains Mixedgrass Prairie",1643,120,64349,11410,40,911360,7
"54","11410_40_Water","11410_40","Water",0,"Northwestern Great Plains Mixedgrass Prairie",NA,NA,NA,NA,NA,NA,NA
"55","11410_40_UN","11410_40","UN",0,"Northwestern Great Plains Mixedgrass Prairie",1643,6,11612,11410,40,911360,1
"56","11410_40_UE","11410_40","UE",0,"Northwestern Great Plains Mixedgrass Prairie",1643,7,196955,11410,40,911360,21
"57","11480_20_29_30_A","11480_20_29_30","A",18,"Western Great Plains Sand Prairie",NA,NA,NA,NA,NA,NA,NA
"58","11480_20_29_30_B","11480_20_29_30","B",82,"Western Great Plains Sand Prairie",1285,2,17,11480,30,40,42
"59","11480_20_29_30_C","11480_20_29_30","C",NA,"Western Great Plains Sand Prairie",NA,NA,NA,NA,NA,NA,NA
"60","11480_20_29_30_D","11480_20_29_30","D",NA,"Western Great Plains Sand Prairie",NA,NA,NA,NA,NA,NA,NA
"61","11480_20_29_30_E","11480_20_29_30","E",NA,"Western Great Plains Sand Prairie",NA,NA,NA,NA,NA,NA,NA
"62","11480_20_29_30_Agriculture","11480_20_29_30","Agriculture",0,"Western Great Plains Sand Prairie",1285,180,7,11480,30,40,17
"63","11480_20_29_30_Developed","11480_20_29_30","Developed",0,"Western Great Plains Sand Prairie",1285,120,3,11480,30,40,7
"64","11480_20_29_30_Water","11480_20_29_30","Water",0,"Western Great Plains Sand Prairie",NA,NA,NA,NA,NA,NA,NA
