"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1643,911360,11410,40,"11410_40","Northwestern Great Plains Mixedgrass Prairie","Grassland",8,-9999,-9999,8,100,-9999,-9999,"II-B",215,255,232,0.843137,1,0.909804,202682,37.8
"2",11,752831,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,167426,31.2
"3",1658,190457,14950,40,"14950_31_39_40","Western Great Plains Depressional Wetland Systems","Riparian",20,-9999,-9999,20,100,-9999,-9999,"II-C",104,0,156,0.407843,0,0.611765,42357,7.9
"4",1654,97482,14200,40,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,21679,4
"5",1660,87032,11410,39,"11410_39","Northwestern Great Plains Mixedgrass Prairie","Grassland",8,-9999,-9999,8,100,-9999,-9999,"II-B",215,255,232,0.843137,1,0.909804,19355,3.6
"6",1645,55636,11620,40,"11620_31_39_40","Western Great Plains Floodplain Systems","Riparian",250,94,196,51,20,54,26,"III-A",102,153,205,0.4,0.6,0.803922,12373,2.3
"7",1651,50548,13850,40,"13850_31_39_40_42","Western Great Plains Wooded Draw and Ravine","Shrubland",91,65,230,32,36,50,14,"I-C",168,168,0,0.658824,0.658824,0,11242,2.1
"8",1670,48132,14200,39,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,10704,2
"9",1284,43922,11410,30,"11410_29_30","Northwestern Great Plains Mixedgrass Prairie","Grassland",13,-9999,-9999,13,100,-9999,-9999,"II-B",215,255,232,0.843137,1,0.909804,9768,1.8
"10",1644,39225,11500,40,"11500_31_39_40","Western Great Plains Tallgrass Prairie","Grassland",5,-9999,254,5,98,-9999,2,"II-A",245,245,150,0.960784,0.960784,0.588235,8723,1.6
"11",1673,33708,14950,39,"14950_31_39_40","Western Great Plains Depressional Wetland Systems","Riparian",20,-9999,-9999,20,100,-9999,-9999,"II-C",104,0,156,0.407843,0,0.611765,7496,1.4
"12",1291,21102,14820,30,"14820_30","Great Plains Prairie Pothole","Grassland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",156,100,163,0.611765,0.392157,0.639216,4693,0.9
"13",1657,17865,14820,40,"14820_39_40","Great Plains Prairie Pothole","Grassland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",156,100,163,0.611765,0.392157,0.639216,3973,0.7
"14",1287,14657,11620,30,"11620_29_30","Western Great Plains Floodplain Systems","Riparian",111,148,259,51,46,34,20,"III-A",102,153,205,0.4,0.6,0.803922,3260,0.6
"15",1671,13660,14690,39,"14690_31_39_40_43","Eastern Great Plains Floodplain Systems","Riparian",517,77,176,48,9,63,28,"III-A",75,170,190,0.294118,0.666667,0.745098,3038,0.6
"16",1672,6329,14820,39,"14820_39_40","Great Plains Prairie Pothole","Grassland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",156,100,163,0.611765,0.392157,0.639216,1408,0.3
