"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,752841,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,167428,31.2
"2",13,3506,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,780,0.1
"3",14,867,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,193,0
"4",15,537,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,119,0
"5",16,22885,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,5090,0.9
"6",17,3068,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,682,0.1
"7",22,325,101146235,"Developed-Low Intensity",153,153,153,0.6,0.6,0.6,72,0
"8",23,196,47439540,"Developed-Medium Intensity",102,102,102,0.4,0.4,0.4,44,0
"9",24,71,23025357,"Developed-High Intensity",51,51,51,0.2,0.2,0.2,16,0
"10",25,66869,278209151,"Developed-Roads",0,0,0,0,0,0,14871,2.8
"11",31,1336,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,297,0.1
"12",32,30,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,7,0
"13",63,3584,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,797,0.1
"14",64,9606,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,2136,0.4
"15",65,1377,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,306,0.1
"16",68,5973,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,1328,0.2
"17",82,36,165821694,"Cultivated Crops",214,210,77,0.839215686,0.823529412,0.301960784,8,0
"18",100,325,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,72,0
"19",110,3445,36085164,"Tree Cover = 10%",228,239,224,0.894117647,0.937254902,0.878431373,766,0.1
"20",111,578,6528884,"Tree Cover = 11%",226,238,222,0.88627451,0.933333333,0.870588235,129,0
"21",112,588,7198220,"Tree Cover = 12%",225,237,220,0.882352941,0.929411765,0.862745098,131,0
"22",113,634,7904402,"Tree Cover = 13%",223,236,218,0.874509804,0.925490196,0.854901961,141,0
"23",114,646,8543638,"Tree Cover = 14%",221,235,216,0.866666667,0.921568627,0.847058824,144,0
"24",115,4096,23500347,"Tree Cover = 15%",220,234,214,0.862745098,0.917647059,0.839215686,911,0.2
"25",116,728,10275647,"Tree Cover = 16%",218,233,212,0.854901961,0.91372549,0.831372549,162,0
"26",117,779,11312146,"Tree Cover = 17%",216,232,210,0.847058824,0.909803922,0.823529412,173,0
"27",118,763,12913967,"Tree Cover = 18%",215,231,208,0.843137255,0.905882353,0.815686275,170,0
"28",119,831,13387968,"Tree Cover = 19%",212,230,204,0.831372549,0.901960784,0.8,185,0
"29",120,881,14038666,"Tree Cover = 20%",207,227,199,0.811764706,0.890196078,0.780392157,196,0
"30",121,880,14492868,"Tree Cover = 21%",203,225,195,0.796078431,0.882352941,0.764705882,196,0
"31",122,870,14889813,"Tree Cover = 22%",199,223,190,0.780392157,0.874509804,0.745098039,193,0
"32",123,862,15140697,"Tree Cover = 23%",195,221,185,0.764705882,0.866666667,0.725490196,192,0
"33",124,916,15453883,"Tree Cover = 24%",191,219,180,0.749019608,0.858823529,0.705882353,204,0
"34",125,2015,41607650,"Tree Cover = 25%",187,217,176,0.733333333,0.850980392,0.690196078,448,0.1
"35",126,946,16086530,"Tree Cover = 26%",182,215,171,0.71372549,0.843137255,0.670588235,210,0
"36",127,993,18727838,"Tree Cover = 27%",178,213,166,0.698039216,0.835294118,0.650980392,221,0
"37",128,1066,18708923,"Tree Cover = 28%",174,211,162,0.682352941,0.82745098,0.635294118,237,0
"38",129,1017,20747451,"Tree Cover = 29%",170,209,158,0.666666667,0.819607843,0.619607843,226,0
"39",130,1115,19623262,"Tree Cover = 30%",166,207,154,0.650980392,0.811764706,0.603921569,248,0
"40",131,1227,19345830,"Tree Cover = 31%",163,205,150,0.639215686,0.803921569,0.588235294,273,0.1
"41",132,1399,19814034,"Tree Cover = 32%",159,202,145,0.623529412,0.792156863,0.568627451,311,0.1
"42",133,1448,19798370,"Tree Cover = 33%",155,200,141,0.607843137,0.784313725,0.552941176,322,0.1
"43",134,1433,20709922,"Tree Cover = 34%",151,198,137,0.592156863,0.776470588,0.537254902,319,0.1
"44",135,2456,63165199,"Tree Cover = 35%",147,196,133,0.576470588,0.768627451,0.521568627,546,0.1
"45",136,1459,22885140,"Tree Cover = 36%",143,195,128,0.560784314,0.764705882,0.501960784,324,0.1
"46",137,1385,21301323,"Tree Cover = 37%",139,193,124,0.545098039,0.756862745,0.48627451,308,0.1
"47",138,1287,23172143,"Tree Cover = 38%",135,191,120,0.529411765,0.749019608,0.470588235,286,0.1
"48",139,1148,25209849,"Tree Cover = 39%",131,190,115,0.51372549,0.745098039,0.450980392,255,0
"49",140,1013,23645421,"Tree Cover = 40%",127,188,111,0.498039216,0.737254902,0.435294118,225,0
"50",141,941,25552784,"Tree Cover = 41%",123,186,106,0.482352941,0.729411765,0.415686275,209,0
"51",142,821,26372996,"Tree Cover = 42%",118,185,102,0.462745098,0.725490196,0.4,183,0
"52",143,666,26586808,"Tree Cover = 43%",114,183,98,0.447058824,0.717647059,0.384313725,148,0
"53",144,671,28829919,"Tree Cover = 44%",110,181,94,0.431372549,0.709803922,0.368627451,149,0
