"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,752841,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,167428,31.2
"2",13,3506,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,780,0.1
"3",14,867,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,193,0
"4",15,537,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,119,0
"5",16,22885,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,5090,0.9
"6",17,3068,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,682,0.1
"7",22,325,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,72,0
"8",23,196,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,44,0
"9",24,71,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,16,0
"10",25,66869,278209151,"Developed-Roads",0,0,0,0,0,0,14871,2.8
"11",31,1336,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,297,0.1
"12",32,30,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,7,0
"13",63,3584,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,797,0.1
"14",64,9606,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,2136,0.4
"15",65,1377,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,306,0.1
"16",68,5973,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,1328,0.2
"17",82,36,165821694,"Cultivated Crops",214,210,77,0.839215686,0.823529412,0.301960784,8,0
"18",100,325,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,72,0
"19",101,43,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,10,0
"20",102,286,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,64,0
"21",103,1371,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,305,0.1
"22",104,1638,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,364,0.1
"23",105,2402,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,534,0.1
"24",106,2967,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,660,0.1
"25",107,3553,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,790,0.1
"26",108,9120,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,2028,0.4
"27",109,5456,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,1213,0.2
"28",110,5247,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,1167,0.2
"29",111,4993,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,1110,0.2
"30",112,4377,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,973,0.2
"31",113,2913,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,648,0.1
"32",114,2044,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,455,0.1
"33",115,1352,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,301,0.1
"34",116,1085,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,241,0
"35",117,1671,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,372,0.1
"36",118,1549,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,344,0.1
"37",119,44,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,10,0
"38",120,17,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,4,0
"39",121,7,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,2,0
"40",202,6,136990412,"Shrub Height = 0.2 meter",237,225,198,0.929411765,0.882352941,0.776470588,1,0
"41",203,66,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,15,0
"42",204,12,213842140,"Shrub Height = 0.4 meter",233,220,187,0.91372549,0.862745098,0.733333333,3,0
"43",205,14,162002292,"Shrub Height = 0.5 meter",231,217,182,0.905882353,0.850980392,0.71372549,3,0
"44",206,35,147479762,"Shrub Height = 0.6 meter",229,214,177,0.898039216,0.839215686,0.694117647,8,0
"45",207,57,156580406,"Shrub Height = 0.7 meter",227,211,172,0.890196078,0.82745098,0.674509804,13,0
"46",208,407,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,91,0
"47",209,194,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,43,0
"48",210,252,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,56,0
"49",211,139,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,31,0
"50",212,382,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,85,0
"51",213,61,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,14,0
"52",214,54,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,12,0
