"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7009,29311,"Northwestern Great Plains Aspen Forest and Parkland",7009,2009,"Tr Northwestern Great Plains Aspen Forest and Parkland","Tree","Hardwood",602,"Aspen Forest, Woodland, and Parkland","SAF 217: Aspen","Tree-dominated","Open tree canopy","Deciduous open tree canopy",192,255,138,0.752941,1,0.541176,6519,1.2
"2",7013,4993,"Western Great Plains Dry Bur Oak Forest and Woodland",7013,2013,"Tr Western Great Plains Dry Bur Oak Forest and Woodland","Tree","Hardwood",659,"Bur Oak Woodland and Savanna","SAF 236: Bur Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,1110,0.2
"3",7085,964,"Northwestern Great Plains Shrubland",7085,2085,"Sh Northwestern Great Plains Shrubland","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 612: Sagebrush-Grass","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,93,65,0.478431,0.364706,0.254902,214,0
"4",7125,2,"Inter-Mountain Basins Big Sagebrush Steppe",7125,2125,"Sh Inter-Mountain Basins Big Sagebrush Steppe","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 314: Big Sagebrush-Bluebunch Wheatgrass","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",230,151,41,0.901961,0.592157,0.160784,0,0
"5",7141,388304,"Northwestern Great Plains Mixedgrass Prairie",7141,2141,"He Northwestern Great Plains Mixedgrass Prairie","Herb","Grassland",646,"Mixedgrass Prairie","SRM 606: Wheatgrass-Bluestem-Needlegrass","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,176,92,1,0.690196,0.360784,86357,16.1
"6",7150,1182,"Western Great Plains Tallgrass Prairie",7150,2150,"He Western Great Plains Tallgrass Prairie","Herb","Grassland",649,"Tallgrass Prairie","SRM 601: Bluestem Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,137,64,1,0.537255,0.25098,263,0
"7",7268,4,"Eastern Great Plains Tallgrass Aspen Shrubland",7331,2331,"Tr Eastern Great Plains Tallgrass Aspen Parkland","Shrub","Shrubland",602,"Aspen Forest, Woodland, and Parkland","SRM 16: Aspen","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",192,255,138,0.752941,1,0.541176,1,0
"8",7290,5,"North-Central Oak Barrens Herbaceous",7395,2395,"Tr North-Central Oak Barrens","Herb","Grassland",663,"Black Oak Woodland and Savanna","SAF 14: Northern Pin Oak","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",44,127,163,0.172549,0.498039,0.639216,1,0
"9",7292,752841,"Open Water",7292,11,"Ba Open Water","Water","Open Water",11,"Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1,167428,31.2
"10",7295,30,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",7295,32,"Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",32,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","LF 20: Developed","Non-vegetated","Non-vegetated","Developed",230,232,250,0.901961,0.909804,0.980392,7,0
"11",7296,325,"Developed-Low Intensity",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784,72,0
"12",7297,196,"Developed-Medium Intensity",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804,44,0
"13",7298,71,"Developed-High Intensity",7298,2904,"Bau Developed-High Intensity","Developed","Developed-High Intensity",24,"Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431,0,0.109804,16,0
"14",7299,66869,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922,14871,2.8
"15",7310,381,"North-Central Interior Dry-Mesic Oak Forest and Woodland",7310,2310,"Tr North-Central Interior Dry-Mesic Oak Forest and Woodland","Tree","Hardwood",660,"White Oak-Red Oak-Hickory Forest and Woodland","SAF 52: White Oak-Black Oak-Northern Red Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",85,187,194,0.333333,0.733333,0.760784,85,0
"16",7311,7,"North-Central Interior Dry Oak Forest and Woodland",7311,2311,"Tr North-Central Interior Dry Oak Forest and Woodland","Tree","Hardwood",663,"Black Oak Woodland and Savanna","SAF 110: Black Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",85,187,194,0.333333,0.733333,0.760784,2,0
"17",7331,42,"Eastern Great Plains Tallgrass Aspen Forest and Woodland",7331,2331,"Tr Eastern Great Plains Tallgrass Aspen Parkland","Tree","Hardwood",602,"Aspen Forest, Woodland, and Parkland","SAF 16: Aspen","Tree-dominated","Open tree canopy","Deciduous open tree canopy",192,255,138,0.752941,1,0.541176,9,0
"18",7385,7018,"Great Plains Wooded Draw and Ravine Woodland",7385,2385,"Tr Western Great Plains Wooded Draw and Ravine","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","LF 41: Deciduous Shrubland","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",128,97,69,0.501961,0.380392,0.270588,1561,0.3
"19",7395,14,"North-Central Oak Barrens Woodland",7395,2395,"Tr North-Central Oak Barrens","Tree","Hardwood",663,"Black Oak Woodland and Savanna","SAF 14: Northern Pin Oak","Tree-dominated","Sparse tree canopy","Deciduous sparse tree canopy",44,127,163,0.172549,0.498039,0.639216,3,0
