"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,224001,49817,"BPS  Open Water",49817,"EVT  Open Water",49817
"2",31,9001,119,26,"BPS  Barren-Rock/Sand/Clay",33228,"EVT  Sparsely Vegetated",52
"3",31,9004,8,2,"BPS  Barren-Rock/Sand/Clay",33228,"EVT  Sparsely Vegetated",7
"4",31,9006,118,26,"BPS  Barren-Rock/Sand/Clay",33228,"EVT  Sparsely Vegetated",364
"5",31,9008,146431,32565,"BPS  Barren-Rock/Sand/Clay",33228,"EVT  Sparsely Vegetated",34068
"6",31,9009,1881,418,"BPS  Barren-Rock/Sand/Clay",33228,"EVT  Sparsely Vegetated",927
"7",31,9010,757,168,"BPS  Barren-Rock/Sand/Clay",33228,"EVT  Sparsely Vegetated",176
"8",31,9018,95,21,"BPS  Barren-Rock/Sand/Clay",33228,"EVT  Sparsely Vegetated",123
"9",410,9017,1,0,"BPS  Sparse",34,"EVT  Riparian",9216
"10",410,9018,148,33,"BPS  Sparse",34,"EVT  Sparsely Vegetated",123
"11",410,9519,5,1,"BPS  Sparse",34,"EVT  Riparian",4144
"12",411,9018,9,2,"BPS  Sparse",2,"EVT  Sparsely Vegetated",123
"13",686,7011,1363,303,"BPS  Hardwood",3001,"EVT  Hardwood",870
"14",686,7049,9,2,"BPS  Hardwood",3001,"EVT  Conifer",251
"15",686,7050,124,28,"BPS  Hardwood",3001,"EVT  Conifer",92
"16",686,7055,56,12,"BPS  Hardwood",3001,"EVT  Conifer",40
"17",686,7056,4,1,"BPS  Hardwood",3001,"EVT  Conifer",9
"18",686,7057,7,2,"BPS  Hardwood",3001,"EVT  Conifer",4
"19",686,7106,5,1,"BPS  Hardwood",3001,"EVT  Shrubland",10
"20",686,7125,87,19,"BPS  Hardwood",3001,"EVT  Shrubland",5723
"21",686,7126,6526,1451,"BPS  Hardwood",3001,"EVT  Shrubland",20850
"22",686,7139,1878,418,"BPS  Hardwood",3001,"EVT  Grassland",2058
"23",686,7140,171,38,"BPS  Hardwood",3001,"EVT  Grassland",222
"24",686,7145,400,89,"BPS  Hardwood",3001,"EVT  Grassland",744
"25",686,7166,593,132,"BPS  Hardwood",3001,"EVT  Conifer",595
"26",686,7296,2,0,"BPS  Hardwood",3001,"EVT  Developed-Low Intensity",44
"27",686,7299,58,13,"BPS  Hardwood",3001,"EVT  Developed-Roads",1246
"28",686,7903,4,1,"BPS  Hardwood",3001,"EVT  Developed",120
"29",686,7904,10,2,"BPS  Hardwood",3001,"EVT  Developed",373
"30",686,7920,3,1,"BPS  Hardwood",3001,"EVT  Developed",1
"31",686,7923,11,2,"BPS  Hardwood",3001,"EVT  Developed",50
"32",686,7924,6,1,"BPS  Hardwood",3001,"EVT  Developed",16
"33",686,7965,2,0,"BPS  Hardwood",3001,"EVT  Agricultural",471
"34",686,7966,16,4,"BPS  Hardwood",3001,"EVT  Agricultural",651
"35",686,7967,2,0,"BPS  Hardwood",3001,"EVT  Agricultural",11891
"36",686,9011,257,57,"BPS  Hardwood",3001,"EVT  Riparian",7460
"37",686,9017,945,210,"BPS  Hardwood",3001,"EVT  Riparian",9216
"38",686,9018,85,19,"BPS  Hardwood",3001,"EVT  Sparsely Vegetated",123
"39",686,9019,239,53,"BPS  Hardwood",3001,"EVT  Riparian",2778
"40",686,9519,135,30,"BPS  Hardwood",3001,"EVT  Riparian",4144
"41",686,9828,482,107,"BPS  Hardwood",3001,"EVT  Exotic Herbaceous",2892
"42",686,9829,12,3,"BPS  Hardwood",3001,"EVT  Riparian",178
"43",690,7011,4,1,"BPS  Conifer",48,"EVT  Hardwood",870
"44",690,7050,3,1,"BPS  Conifer",48,"EVT  Conifer",92
"45",690,7126,89,20,"BPS  Conifer",48,"EVT  Shrubland",20850
"46",690,7139,14,3,"BPS  Conifer",48,"EVT  Grassland",2058
"47",690,7140,1,0,"BPS  Conifer",48,"EVT  Grassland",222
"48",690,7145,2,0,"BPS  Conifer",48,"EVT  Grassland",744
"49",690,7166,2,0,"BPS  Conifer",48,"EVT  Conifer",595
"50",690,9017,22,5,"BPS  Conifer",48,"EVT  Riparian",9216
"51",690,9018,1,0,"BPS  Conifer",48,"EVT  Sparsely Vegetated",123
"52",690,9019,4,1,"BPS  Conifer",48,"EVT  Riparian",2778
"53",690,9519,31,7,"BPS  Conifer",48,"EVT  Riparian",4144
"54",690,9828,41,9,"BPS  Conifer",48,"EVT  Exotic Herbaceous",2892
"55",690,9829,1,0,"BPS  Conifer",48,"EVT  Riparian",178
"56",693,7011,9,2,"BPS  Conifer",271,"EVT  Hardwood",870
"57",693,7050,4,1,"BPS  Conifer",271,"EVT  Conifer",92
"58",693,7055,1,0,"BPS  Conifer",271,"EVT  Conifer",40
"59",693,7056,1,0,"BPS  Conifer",271,"EVT  Conifer",9
"60",693,7106,2,0,"BPS  Conifer",271,"EVT  Shrubland",10
"61",693,7126,86,19,"BPS  Conifer",271,"EVT  Shrubland",20850
"62",693,7139,9,2,"BPS  Conifer",271,"EVT  Grassland",2058
"63",693,7140,3,1,"BPS  Conifer",271,"EVT  Grassland",222
"64",693,7145,6,1,"BPS  Conifer",271,"EVT  Grassland",744
"65",693,7166,43,10,"BPS  Conifer",271,"EVT  Conifer",595
"66",693,7299,3,1,"BPS  Conifer",271,"EVT  Developed-Roads",1246
"67",693,7966,18,4,"BPS  Conifer",271,"EVT  Agricultural",651
"68",693,7967,2,0,"BPS  Conifer",271,"EVT  Agricultural",11891
"69",693,9011,312,69,"BPS  Conifer",271,"EVT  Riparian",7460
"70",693,9017,607,135,"BPS  Conifer",271,"EVT  Riparian",9216
"71",693,9018,2,0,"BPS  Conifer",271,"EVT  Sparsely Vegetated",123
"72",693,9019,65,14,"BPS  Conifer",271,"EVT  Riparian",2778
"73",693,9519,23,5,"BPS  Conifer",271,"EVT  Riparian",4144
"74",693,9828,18,4,"BPS  Conifer",271,"EVT  Exotic Herbaceous",2892
"75",693,9829,4,1,"BPS  Conifer",271,"EVT  Riparian",178
"76",694,7011,190,42,"BPS  Conifer",896,"EVT  Hardwood",870
"77",694,7049,2,0,"BPS  Conifer",896,"EVT  Conifer",251
"78",694,7050,23,5,"BPS  Conifer",896,"EVT  Conifer",92
"79",694,7055,9,2,"BPS  Conifer",896,"EVT  Conifer",40
"80",694,7056,4,1,"BPS  Conifer",896,"EVT  Conifer",9
"81",694,7106,3,1,"BPS  Conifer",896,"EVT  Shrubland",10
"82",694,7126,1046,233,"BPS  Conifer",896,"EVT  Shrubland",20850
"83",694,7139,151,34,"BPS  Conifer",896,"EVT  Grassland",2058
"84",694,7140,34,8,"BPS  Conifer",896,"EVT  Grassland",222
"85",694,7145,90,20,"BPS  Conifer",896,"EVT  Grassland",744
"86",694,7166,262,58,"BPS  Conifer",896,"EVT  Conifer",595
"87",694,7299,1,0,"BPS  Conifer",896,"EVT  Developed-Roads",1246
"88",694,7924,1,0,"BPS  Conifer",896,"EVT  Developed",16
"89",694,7965,5,1,"BPS  Conifer",896,"EVT  Agricultural",471
"90",694,7966,15,3,"BPS  Conifer",896,"EVT  Agricultural",651
"91",694,9011,485,108,"BPS  Conifer",896,"EVT  Riparian",7460
"92",694,9017,1190,265,"BPS  Conifer",896,"EVT  Riparian",9216
"93",694,9018,12,3,"BPS  Conifer",896,"EVT  Sparsely Vegetated",123
"94",694,9019,218,48,"BPS  Conifer",896,"EVT  Riparian",2778
"95",694,9519,180,40,"BPS  Conifer",896,"EVT  Riparian",4144
"96",694,9828,103,23,"BPS  Conifer",896,"EVT  Exotic Herbaceous",2892
"97",694,9829,3,1,"BPS  Conifer",896,"EVT  Riparian",178
"98",700,7139,5,1,"BPS  Shrubland",1,"EVT  Grassland",2058
"99",701,7125,4,1,"BPS  Shrubland",84,"EVT  Shrubland",5723
"100",701,7126,195,43,"BPS  Shrubland",84,"EVT  Shrubland",20850
"101",701,7139,176,39,"BPS  Shrubland",84,"EVT  Grassland",2058
"102",701,9828,2,0,"BPS  Shrubland",84,"EVT  Exotic Herbaceous",2892
"103",703,7011,10,2,"BPS  Shrubland",1031,"EVT  Hardwood",870
"104",703,7050,5,1,"BPS  Shrubland",1031,"EVT  Conifer",92
"105",703,7125,10,2,"BPS  Shrubland",1031,"EVT  Shrubland",5723
"106",703,7126,1680,374,"BPS  Shrubland",1031,"EVT  Shrubland",20850
"107",703,7139,147,33,"BPS  Shrubland",1031,"EVT  Grassland",2058
"108",703,7140,9,2,"BPS  Shrubland",1031,"EVT  Grassland",222
"109",703,7145,96,21,"BPS  Shrubland",1031,"EVT  Grassland",744
"110",703,7166,23,5,"BPS  Shrubland",1031,"EVT  Conifer",595
"111",703,7299,11,2,"BPS  Shrubland",1031,"EVT  Developed-Roads",1246
"112",703,7904,2,0,"BPS  Shrubland",1031,"EVT  Developed",373
"113",703,7924,6,1,"BPS  Shrubland",1031,"EVT  Developed",16
"114",703,7967,13,3,"BPS  Shrubland",1031,"EVT  Agricultural",11891
"115",703,9011,57,13,"BPS  Shrubland",1031,"EVT  Riparian",7460
"116",703,9017,1268,282,"BPS  Shrubland",1031,"EVT  Riparian",9216
"117",703,9019,62,14,"BPS  Shrubland",1031,"EVT  Riparian",2778
"118",703,9519,720,160,"BPS  Shrubland",1031,"EVT  Riparian",4144
"119",703,9828,497,111,"BPS  Shrubland",1031,"EVT  Exotic Herbaceous",2892
"120",703,9829,20,4,"BPS  Shrubland",1031,"EVT  Riparian",178
