"","model_label","model_code","ref_label","ref_percent","bps_name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_16_23_24_A","10110_16_23_24","A",49,"Rocky Mountain Aspen Forest and Woodland",1009,1,61,10110,23,209,29
"2","10110_16_23_24_B","10110_16_23_24","B",24,"Rocky Mountain Aspen Forest and Woodland",1009,2,8,10110,23,209,3
"3","10110_16_23_24_C","10110_16_23_24","C",6,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"4","10110_16_23_24_D","10110_16_23_24","D",18,"Rocky Mountain Aspen Forest and Woodland",1009,4,8,10110,23,209,3
"5","10110_16_23_24_E","10110_16_23_24","E",3,"Rocky Mountain Aspen Forest and Woodland",1009,5,3,10110,23,209,1
"6","10110_16_23_24_Agriculture","10110_16_23_24","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1009,180,88,10110,23,209,42
"7","10110_16_23_24_Developed","10110_16_23_24","Developed",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"8","10110_16_23_24_Water","10110_16_23_24","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10110_16_23_24_UN","10110_16_23_24","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"10","10110_16_23_24_UE","10110_16_23_24","UE",0,"Rocky Mountain Aspen Forest and Woodland",1009,7,40,10110,23,209,19
"11","10110_21_A","10110_21","A",9,"Rocky Mountain Aspen Forest and Woodland",686,1,10487,10110,21,13492,77
"12","10110_21_B","10110_21","B",24,"Rocky Mountain Aspen Forest and Woodland",686,2,1052,10110,21,13492,7
"13","10110_21_C","10110_21","C",25,"Rocky Mountain Aspen Forest and Woodland",686,3,77,10110,21,13492,0
"14","10110_21_D","10110_21","D",27,"Rocky Mountain Aspen Forest and Woodland",686,4,1031,10110,21,13492,7
"15","10110_21_E","10110_21","E",15,"Rocky Mountain Aspen Forest and Woodland",686,5,152,10110,21,13492,1
"16","10110_21_Agriculture","10110_21","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",686,180,20,10110,21,13492,0
"17","10110_21_Developed","10110_21","Developed",0,"Rocky Mountain Aspen Forest and Woodland",686,120,74,10110,21,13492,0
"18","10110_21_Water","10110_21","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"19","10110_21_UN","10110_21","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"20","10110_21_UE","10110_21","UE",0,"Rocky Mountain Aspen Forest and Woodland",686,7,514,10110,21,13492,3
"21","10110_22_A","10110_22","A",8,"Rocky Mountain Aspen Forest and Woodland",879,1,12,10110,22,46,26
"22","10110_22_B","10110_22","B",34,"Rocky Mountain Aspen Forest and Woodland",879,2,1,10110,22,46,2
"23","10110_22_C","10110_22","C",58,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"24","10110_22_D","10110_22","D",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"25","10110_22_E","10110_22","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"26","10110_22_Agriculture","10110_22","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",879,180,33,10110,22,46,71
"27","10110_22_Developed","10110_22","Developed",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"28","10110_22_Water","10110_22","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"29","10110_22_UN","10110_22","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"30","10110_22_UE","10110_22","UE",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"31","10110_28_A","10110_28","A",7,"Rocky Mountain Aspen Forest and Woodland",1146,1,1275,10110,28,2545,50
"32","10110_28_B","10110_28","B",35,"Rocky Mountain Aspen Forest and Woodland",1146,2,33,10110,28,2545,1
"33","10110_28_C","10110_28","C",58,"Rocky Mountain Aspen Forest and Woodland",1146,3,573,10110,28,2545,22
"34","10110_28_D","10110_28","D",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"35","10110_28_E","10110_28","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"36","10110_28_Agriculture","10110_28","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1146,180,266,10110,28,2545,10
"37","10110_28_Developed","10110_28","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1146,120,184,10110,28,2545,7
"38","10110_28_Water","10110_28","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"39","10110_28_UN","10110_28","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"40","10110_28_UE","10110_28","UE",0,"Rocky Mountain Aspen Forest and Woodland",1146,7,214,10110,28,2545,8
"41","10110_6_10_12_17_18_19_A","10110_6_10_12_17_18_19","A",14,"Rocky Mountain Aspen Forest and Woodland",1078,1,2,10110,17,3,66
"42","10110_6_10_12_17_18_19_B","10110_6_10_12_17_18_19","B",40,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"43","10110_6_10_12_17_18_19_C","10110_6_10_12_17_18_19","C",45,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"44","10110_6_10_12_17_18_19_D","10110_6_10_12_17_18_19","D",1,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"45","10110_6_10_12_17_18_19_E","10110_6_10_12_17_18_19","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"46","10110_6_10_12_17_18_19_Agriculture","10110_6_10_12_17_18_19","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"47","10110_6_10_12_17_18_19_Developed","10110_6_10_12_17_18_19","Developed",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"48","10110_6_10_12_17_18_19_Water","10110_6_10_12_17_18_19","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"49","10110_6_10_12_17_18_19_UN","10110_6_10_12_17_18_19","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"50","10110_6_10_12_17_18_19_UE","10110_6_10_12_17_18_19","UE",0,"Rocky Mountain Aspen Forest and Woodland",1078,7,1,10110,17,3,33
"51","10160_15_28_A","10160_15_28","A",10,"Colorado Plateau Pinyon-Juniper Woodland",1147,1,77,10160,28,90,85
"52","10160_15_28_B","10160_15_28","B",21,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"53","10160_15_28_C","10160_15_28","C",25,"Colorado Plateau Pinyon-Juniper Woodland",1147,3,3,10160,28,90,3
"54","10160_15_28_D","10160_15_28","D",34,"Colorado Plateau Pinyon-Juniper Woodland",1147,4,5,10160,28,90,5
"55","10160_15_28_E","10160_15_28","E",10,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"56","10160_15_28_Agriculture","10160_15_28","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",1147,180,1,10160,28,90,1
"57","10160_15_28_Developed","10160_15_28","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",1147,120,1,10160,28,90,1
"58","10160_15_28_Water","10160_15_28","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"59","10160_15_28_UN","10160_15_28","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"60","10160_15_28_UE","10160_15_28","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",1147,7,3,10160,28,90,3
"61","10160_16_23_24_25_A","10160_16_23_24_25","A",9,"Colorado Plateau Pinyon-Juniper Woodland",1010,1,162,10160,23,1472,11
"62","10160_16_23_24_25_B","10160_16_23_24_25","B",21,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"63","10160_16_23_24_25_C","10160_16_23_24_25","C",24,"Colorado Plateau Pinyon-Juniper Woodland",1010,3,882,10160,23,1472,59
"64","10160_16_23_24_25_D","10160_16_23_24_25","D",38,"Colorado Plateau Pinyon-Juniper Woodland",1010,4,223,10160,23,1472,15
"65","10160_16_23_24_25_E","10160_16_23_24_25","E",8,"Colorado Plateau Pinyon-Juniper Woodland",1010,5,14,10160,23,1472,0
"66","10160_16_23_24_25_Agriculture","10160_16_23_24_25","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",1010,180,25,10160,23,1472,1
"67","10160_16_23_24_25_Developed","10160_16_23_24_25","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",1010,120,45,10160,23,1472,3
"68","10160_16_23_24_25_Water","10160_16_23_24_25","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"69","10160_16_23_24_25_UN","10160_16_23_24_25","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"70","10160_16_23_24_25_UE","10160_16_23_24_25","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",1010,7,35,10160,23,1472,2
"71","10160_22_A","10160_22","A",6,"Colorado Plateau Pinyon-Juniper Woodland",880,1,346,10160,22,843,41
"72","10160_22_B","10160_22","B",27,"Colorado Plateau Pinyon-Juniper Woodland",880,2,202,10160,22,843,23
"73","10160_22_C","10160_22","C",67,"Colorado Plateau Pinyon-Juniper Woodland",880,3,241,10160,22,843,28
"74","10160_22_D","10160_22","D",NA,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"75","10160_22_E","10160_22","E",NA,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"76","10160_22_Agriculture","10160_22","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",880,180,6,10160,22,843,0
"77","10160_22_Developed","10160_22","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"78","10160_22_Water","10160_22","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"79","10160_22_UN","10160_22","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"80","10160_22_UE","10160_22","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",880,7,41,10160,22,843,4
"81","10490_16_22_A","10490_16_22","A",33,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",881,1,154,10490,22,212,72
"82","10490_16_22_B","10490_16_22","B",27,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",881,2,29,10490,22,212,13
"83","10490_16_22_C","10490_16_22","C",40,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
