"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,224001,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,49817,22.1
"2",31,149409,31,0,"0","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902,33228,14.7
"3",1107,96431,11530,17,"11530_6_10_12_13_17_18_19_21","Inter-Mountain Basins Greasewood Flat","Shrubland",1024,-9999,-9999,1024,100,-9999,-9999,"V-B",225,225,225,0.882353,0.882353,0.882353,21446,9.5
"4",892,87786,10802,22,"10802_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush","Shrubland",98,-9999,-9999,98,100,-9999,-9999,"IV-A",255,163,180,1,0.639216,0.705882,19523,8.7
"5",704,73043,11260,21,"11260_21","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745,16244,7.2
"6",905,59794,11590,22,"11590_22","Rocky Mountain Montane Riparian Systems","Riparian",271,-9999,79,61,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706,13298,5.9
"7",891,58397,10801,22,"10801_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,-9999,-9999,72,100,-9999,-9999,"IV-A",255,190,232,1,0.745098,0.909804,12987,5.8
"8",1178,45908,11590,28,"11590_28","Rocky Mountain Montane Riparian Systems","Riparian",270,-9999,79,61,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706,10210,4.5
"9",1177,36626,11530,28,"11530_28","Inter-Mountain Basins Greasewood Flat","Shrubland",204,-9999,-9999,204,100,-9999,-9999,"V-A",225,225,225,0.882353,0.882353,0.882353,8145,3.6
"10",889,14773,10660,22,"10660_22","Inter-Mountain Basins Mat Saltbush Shrubland","Shrubland",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",11,190,127,0.043137,0.745098,0.498039,3285,1.5
"11",1170,15221,11260,28,"11260_6_12_17_18_28","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",49,-9999,-9999,49,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745,3385,1.5
"12",686,13492,10110,21,"10110_21","Rocky Mountain Aspen Forest and Woodland","Hardwood",110,-9999,-9999,110,100,-9999,-9999,"IV-B",255,255,115,1,1,0.45098,3001,1.3
"13",1042,13343,11530,23,"11530_16_23_24_25_27","Inter-Mountain Basins Greasewood Flat","Shrubland",208,-9999,-9999,208,100,-9999,-9999,"V-A",225,225,225,0.882353,0.882353,0.882353,2967,1.3
"14",1108,12469,11540,17,"11540_6_12_16_17","Inter-Mountain Basins Montane Riparian Systems","Riparian",378,-9999,-9999,378,100,-9999,-9999,"V-A",154,156,117,0.603922,0.611765,0.458824,2773,1.2
"15",894,10940,10861,22,"10861_22","Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany","Shrubland",89,-9999,-9999,89,100,-9999,-9999,"IV-A",137,68,101,0.537255,0.266667,0.396078,2433,1.1
"16",1161,10932,10801,28,"10801_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,-9999,-9999,72,100,-9999,-9999,"IV-A",255,190,232,1,0.745098,0.909804,2431,1.1
"17",712,9651,11590,21,"11590_21","Rocky Mountain Montane Riparian Systems","Riparian",180,-9999,-9999,180,100,-9999,-9999,"IV-B",123,124,93,0.482353,0.486275,0.364706,2146,1
"18",899,8085,11270,22,"11270_22","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",448,-9999,-9999,448,100,-9999,-9999,"V-A",194,158,215,0.760784,0.619608,0.843137,1798,0.8
"19",906,6800,11620,22,"11620_22","Western Great Plains Floodplain Systems","Riparian",571,125,-9999,103,18,82,-9999,"III-B",102,153,205,0.4,0.6,0.803922,1512,0.7
"20",1043,7146,11590,23,"11590_16_23_24_26","Rocky Mountain Montane Riparian Systems","Riparian",270,-9999,79,61,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706,1589,0.7
"21",1040,6449,11350,23,"11350_16_23_24","Inter-Mountain Basins Semi-Desert Grassland","Grassland",25,-9999,-9999,25,100,-9999,-9999,"II-C",185,174,211,0.72549,0.682353,0.827451,1434,0.6
"22",703,4636,11240,21,"11240_10_12_17_18_19_21","Columbia Plateau Low Sagebrush Steppe","Shrubland",201,-9999,-9999,201,100,-9999,-9999,"V-A",132,140,173,0.517647,0.54902,0.678431,1031,0.5
"23",694,4027,10560,21,"10560_21_22","Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Conifer",432,895,-9999,291,67,33,-9999,"V-A",56,168,0,0.219608,0.658824,0,896,0.4
"24",715,3967,11660,21,"11660_21","Middle Rocky Mountain Montane Douglas-fir Forest and Woodland","Conifer",296,46,-9999,40,14,86,-9999,"III-A",214,112,0,0.839216,0.439216,0,882,0.4
"25",893,4503,10810,22,"10810_22","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",450,-9999,-9999,450,100,-9999,-9999,"V-A",245,202,122,0.960784,0.792157,0.478431,1001,0.4
"26",1092,4454,10810,17,"10810_6_12_13_17","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",1978,-9999,-9999,1978,100,-9999,-9999,"V-B",245,202,122,0.960784,0.792157,0.478431,991,0.4
"27",898,3317,11260,22,"11260_22","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",86,-9999,-9999,86,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745,738,0.3
"28",904,3300,11530,22,"11530_20_22_29_30","Inter-Mountain Basins Greasewood Flat","Shrubland",207,-9999,-9999,207,100,-9999,-9999,"V-A",225,225,225,0.882353,0.882353,0.882353,734,0.3
"29",1026,3285,10810,23,"10810_15_16_23_24_28","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",616,-9999,-9999,616,100,-9999,-9999,"V-B",245,202,122,0.960784,0.792157,0.478431,731,0.3
"30",1146,2545,10110,28,"10110_28","Rocky Mountain Aspen Forest and Woodland","Hardwood",145,1732,844,116,79,7,14,"IV-B",255,255,115,1,1,0.45098,566,0.3
"31",878,1718,10010,22,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",255,255,190,1,1,0.745098,382,0.2
"32",1023,1784,10660,23,"10660_16_23_24","Inter-Mountain Basins Mat Saltbush Shrubland","Shrubland",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",11,190,127,0.043137,0.745098,0.498039,397,0.2
"33",1103,2237,11260,17,"11260_6_12_17_18_28","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",49,-9999,-9999,49,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745,497,0.2
"34",693,1218,10550,21,"10550_21_22","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",333,-9999,-9999,333,100,-9999,-9999,"V-A",211,255,190,0.827451,1,0.745098,271,0.1
"35",713,676,11600,21,"11600_21","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",335,2775,-9999,299,89,11,-9999,"V-A",49,165,167,0.192157,0.647059,0.654902,150,0.1
"36",880,843,10160,22,"10160_22","Colorado Plateau Pinyon-Juniper Woodland","Conifer",458,215,3310,140,31,65,4,"III-B",205,170,102,0.803922,0.666667,0.4,187,0.1
"37",1010,1472,10160,23,"10160_16_23_24_25","Colorado Plateau Pinyon-Juniper Woodland","Conifer",435,195,2265,127,29,65,6,"III-B",205,170,102,0.803922,0.666667,0.4,327,0.1
"38",1077,970,10010,17,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",255,255,190,1,1,0.745098,216,0.1
"39",1098,687,11070,17,"11070_17","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",153,52,-9999,39,25,75,-9999,"III-A",115,255,223,0.45098,1,0.87451,153,0.1
"40",1149,1035,10500,28,"10500_16_23_28","Rocky Mountain Lodgepole Pine Forest","Conifer",152,-9999,640,123,81,-9999,19,"IV-B",128,251,26,0.501961,0.984314,0.101961,230,0.1
"41",1157,602,10610,28,"10610_22_27_28","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",78,73,126,29,37,40,23,"I-C",230,230,0,0.901961,0.901961,0,134,0.1
"42",1162,1475,10810,28,"10810_15_16_23_24_28","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",616,-9999,-9999,616,100,-9999,-9999,"V-B",245,202,122,0.960784,0.792157,0.478431,328,0.1
"43",1179,763,11600,28,"11600_15_28","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",273,-9999,80,62,23,-9999,77,"III-A",49,165,167,0.192157,0.647059,0.654902,170,0.1
"44",410,154,10010,21,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",255,255,190,1,1,0.745098,34,0
"45",411,9,10060,21,"10060","Rocky Mountain Alpine/Montane Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",78,78,78,0.305882,0.305882,0.305882,2,0
"46",690,215,10490,21,"10490_19_20_21_23_28_29","Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",385,-9999,-9999,385,100,-9999,-9999,"V-A",102,205,171,0.4,0.803922,0.670588,48,0
