"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",59,0.45098,46,0,1.7224516
"2","All Fire","10110_21",0.0090334,"Rocky Mountain Aspen Forest and Woodland",12,0.45098,3001,1.3,27.1092334
"3","All Fire","10110_22",0.0060602,"Rocky Mountain Aspen Forest and Woodland",50,0.45098,10,0,0.060602
"4","All Fire","10110_28",0.0084652,"Rocky Mountain Aspen Forest and Woodland",30,0.45098,566,0.3,4.7913032
"5","All Fire","10110_6_10_12_17_18_19",0.0320966,"Rocky Mountain Aspen Forest and Woodland",74,0.45098,1,0,0.0320966
"6","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",78,0.4,20,0,0.161216
"7","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",37,0.4,327,0.1,2.5677348
"8","All Fire","10160_22",0.007225,"Colorado Plateau Pinyon-Juniper Woodland",36,0.4,187,0.1,1.351075
"9","All Fire","10490_16_22",0.004791,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",51,0.670588,47,0,0.225177
"10","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",46,0.670588,48,0,0.1212288
"11","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",40,0.101961,230,0.1,1.864196
"12","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",60,1,18,0,1.6828884
"13","All Fire","10510_28",0.0538472,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",79,1,17,0,0.9154024
"14","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",61,0.901961,5,0,0.150977
"15","All Fire","10520_28",0.0184546,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",80,0.901961,1,0,0.0184546
"16","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",62,0,0,0,0
"17","All Fire","10540_22",0.0789302,"Southern Rocky Mountain Ponderosa Pine Woodland",52,0,56,0,4.4200912
"18","All Fire","10540_28",0.0496688,"Southern Rocky Mountain Ponderosa Pine Woodland",81,0,100,0,4.96688
"19","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",82,0.745098,20,0,0.145936
"20","All Fire","10550_21_22",0.0030068,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",34,0.745098,271,0.1,0.8148428
"21","All Fire","10560_15_28",0.0072868,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",83,0,0,0,0
"22","All Fire","10560_21_22",0.0034478,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",23,0,896,0.4,3.0892288
"23","All Fire","10570_28",0.0068034,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",84,0.635294,1,0,0.0068034
"24","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",41,0,134,0.1,4.6760372
"25","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",63,0,1,0,0.0980794
"26","All Fire","10620_16_23",0.0154918,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",64,0.901961,1,0,0.0154918
"27","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",65,0.843137,53,0,0.675061
"28","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",75,0.843137,22,0,0.280214
"29","All Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",53,0.784314,0,0,0
"30","All Fire","10790_6_9_10_12_16_17_18",0.0118728,"Great Basin Xeric Mixed Sagebrush Shrubland",76,0.811765,4,0,0.0474912
"31","All Fire","10801_21_22_28",0.0136586,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",7,0.909804,12987,5.8,177.3842382
"32","All Fire","10801_21_22_28",0.0136586,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",16,0.909804,2431,1.1,33.2040566
"33","All Fire","10802_21_22_28",0.010061,"Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush",4,0.705882,19523,8.7,196.420903
"34","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",91,0.909804,0,0,0
"35","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",93,0.909804,20,0,0.132044
"36","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",92,0.909804,37,0,0.3123466
"37","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",94,0.909804,41,0,0.3461138
"38","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",29,0.478431,731,0.3,1.166676
"39","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",42,0.478431,328,0.1,0.523488
"40","All Fire","10810_22",0.0022558,"Inter-Mountain Basins Mixed Salt Desert Scrub",25,0.478431,1001,0.4,2.2580558
"41","All Fire","10810_6_12_13_17",0.0005172,"Inter-Mountain Basins Mixed Salt Desert Scrub",26,0.478431,991,0.4,0.5125452
"42","All Fire","10860_13_16_17_18_21_23",0.0458416,"Rocky Mountain Lower Montane-Foothill Shrubland",47,0.396078,1,0,0.0458416
"43","All Fire","10860_13_16_17_18_21_23",0.0458416,"Rocky Mountain Lower Montane-Foothill Shrubland",66,0.396078,45,0,2.062872
"44","All Fire","10860_28",0.0186432,"Rocky Mountain Lower Montane-Foothill Shrubland",85,0.396078,5,0,0.093216
"45","All Fire","10861_22",0.0110542,"Rocky Mountain Lower Montane-Foothill Shrubland - No True Mountain Mahogany",15,0.396078,2433,1.1,26.8948686
"46","All Fire","10862_22",0.0093616,"Rocky Mountain Lower Montane-Foothill Shrubland - True Mountain Mahogany",54,0.529412,0,0,0
"47","All Fire","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",67,0,12,0,0.1857696
"48","All Fire","11060_20_21_29",0.0126868,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",48,0.313725,84,0,1.0656912
"49","All Fire","11070_17",0.025827,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",39,0.87451,153,0.1,3.951531
"50","All Fire","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",68,0.87451,3,0,0.077952
"51","All Fire","11070_25_28",0.026041,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",86,0.87451,10,0,0.26041
"52","All Fire","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",69,0.266667,7,0,0.1079162
"53","All Fire","11150_21_22",0.0154206,"Inter-Mountain Basins Juniper Savanna",55,0.266667,2,0,0.0308412
"54","All Fire","11170_16_23_24",0.1244826,"Southern Rocky Mountain Ponderosa Pine Savanna",70,0,0,0,0
"55","All Fire","11240_10_12_17_18_19_21",0.0050212,"Columbia Plateau Low Sagebrush Steppe",22,0.678431,1031,0.5,5.1768572
"56","All Fire","11250_6_12_13_15_16_17_18_23_24_25_28",0.0086132,"Inter-Mountain Basins Big Sagebrush Steppe",71,0.87451,20,0,0.172264
"57","All Fire","11260_21",0.0201912,"Inter-Mountain Basins Montane Sagebrush Steppe",5,0.662745,16244,7.2,327.9858528
"58","All Fire","11260_22",0.0115496,"Inter-Mountain Basins Montane Sagebrush Steppe",27,0.662745,738,0.3,8.5236048
"59","All Fire","11260_6_12_17_18_28",0.0199184,"Inter-Mountain Basins Montane Sagebrush Steppe",11,0.662745,3385,1.5,67.423784
"60","All Fire","11260_6_12_17_18_28",0.0199184,"Inter-Mountain Basins Montane Sagebrush Steppe",33,0.662745,497,0.2,9.8994448
"61","All Fire","11261_16_23_24",0.0203804,"Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush",72,0.662745,0,0,0
"62","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",73,0.843137,3,0,0.0283032
"63","All Fire","11270_22",0.0022132,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",18,0.843137,1798,0.8,3.9793336
"64","All Fire","11270_28",0.0084374,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",87,0.843137,2,0,0.0168748
"65","All Fire","11350_15_28",0.0400448,"Inter-Mountain Basins Semi-Desert Grassland",88,0.827451,2,0,0.0800896
"66","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",21,0.827451,1434,0.6,57.2186076
"67","All Fire","11350_22",0.0401812,"Inter-Mountain Basins Semi-Desert Grassland",56,0.827451,36,0,1.4465232
"68","All Fire","11450_22_24_28",0.0308498,"Rocky Mountain Subalpine-Montane Mesic Meadow",89,1,0,0,0
