"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,224001,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,49817,22.1
"2",13,94,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,21,0
"3",14,41,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,9,0
"4",15,20,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,4,0
"5",16,541,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,120,0.1
"6",17,1675,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,373,0.2
"7",22,197,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,44,0
"8",23,51,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,11,0
"9",24,13,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,3,0
"10",25,5604,278209151,"Developed-Roads",0,0,0,0,0,0,1246,0.6
"11",31,149409,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,33228,14.7
"12",32,78,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,17,0
"13",63,744,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,165,0.1
"14",64,24,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,5,0
"15",65,2117,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,471,0.2
"16",68,95,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,21,0
"17",100,11192,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,2489,1.1
"18",101,7612,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,1693,0.8
"19",102,2919,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,649,0.3
"20",103,2927,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,651,0.3
"21",104,1858,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,413,0.2
"22",105,1517,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,337,0.1
"23",106,1275,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,284,0.1
"24",107,1058,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,235,0.1
"25",108,1095,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,244,0.1
"26",109,784,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,174,0.1
"27",110,712,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,158,0.1
"28",111,611,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,136,0.1
"29",112,610,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,136,0.1
"30",113,524,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,117,0.1
"31",114,519,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,115,0.1
"32",115,422,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,94,0
"33",116,441,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,98,0
"34",117,424,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,94,0
"35",118,653,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,145,0.1
"36",119,500,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,111,0
"37",120,436,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,97,0
"38",121,265,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,59,0
"39",122,155,130787915,"Tree Height = 22 meters",71,164,64,0.278431373,0.643137255,0.250980392,34,0
"40",123,30,108221951,"Tree Height = 23 meters",66,154,60,0.258823529,0.603921569,0.235294118,7,0
"41",124,23,87181121,"Tree Height = 24 meters",62,143,56,0.243137255,0.560784314,0.219607843,5,0
"42",125,35,66488811,"Tree Height = 25 meters",58,133,52,0.22745098,0.521568627,0.203921569,8,0
"43",201,3008,4876712,"Shrub Height = 0.1 meter",239,228,204,0.937254902,0.894117647,0.8,669,0.3
"44",202,55588,136990412,"Shrub Height = 0.2 meter",237,225,198,0.929411765,0.882352941,0.776470588,12362,5.5
"45",203,39127,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,8702,3.9
"46",204,24781,213842140,"Shrub Height = 0.4 meter",233,220,187,0.91372549,0.862745098,0.733333333,5511,2.4
"47",205,20307,162002292,"Shrub Height = 0.5 meter",231,217,182,0.905882353,0.850980392,0.71372549,4516,2
"48",206,21589,147479762,"Shrub Height = 0.6 meter",229,214,177,0.898039216,0.839215686,0.694117647,4801,2.1
"49",207,43437,156580406,"Shrub Height = 0.7 meter",227,211,172,0.890196078,0.82745098,0.674509804,9660,4.3
"50",208,97958,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,21785,9.7
"51",209,20144,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,4480,2
